+---------------------------------------------------------------------------------------------------+
|                                  emit benchmark: compile_commands                                 |
+-----------------------+---------+---------+-----------+---------------+-------------+-------------+
| function              |    MB/s | MB/s(x) |   MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+-----------------------+---------+---------+-----------+---------------+-------------+-------------+
| ryml_yaml_str_reserve |  786.17 | 125.35x | 12435.13% |          0.06 |       0.01x |     -99.20% |
| ryml_json_str_reserve | 1003.54 | 160.01x | 15900.93% |          0.05 |       0.01x |     -99.38% |
| ryml_yaml_str         |  805.03 | 128.36x | 12735.76% |          0.06 |       0.01x |     -99.22% |
| ryml_json_str         | 1034.93 | 165.01x | 16401.45% |          0.05 |       0.01x |     -99.39% |
| ryml_yaml_ostream     |  850.10 | 135.54x | 13454.45% |          0.06 |       0.01x |     -99.26% |
| ryml_json_ostream     |  749.02 | 119.43x | 11842.80% |          0.06 |       0.01x |     -99.16% |
| ryml_yaml_ofstream    |  759.73 | 121.13x | 12013.47% |          0.06 |       0.01x |     -99.17% |
| ryml_json_ofstream    |  690.54 | 110.10x | 10910.23% |          0.07 |       0.01x |     -99.09% |
| ryml_yaml_file        |  633.82 | 101.06x | 10005.92% |          0.07 |       0.01x |     -99.01% |
| ryml_json_file        |  761.45 | 121.41x | 12040.97% |          0.06 |       0.01x |     -99.18% |
| ryml_yaml_str_file    |  753.37 | 120.12x | 11912.08% |          0.06 |       0.01x |     -99.17% |
| ryml_json_str_file    |  947.44 | 151.07x | 15006.50% |          0.05 |       0.01x |     -99.34% |
| fyaml_str_reserve     |  424.75 |  67.72x |  6672.37% |          0.11 |       0.01x |     -98.52% |
| fyaml_str             |  425.42 |  67.83x |  6683.12% |          0.11 |       0.01x |     -98.53% |
| fyaml_ostream         |  371.60 |  59.25x |  5825.02% |          0.13 |       0.02x |     -98.31% |
| yamlcpp_              |    6.27 |   1.00x |     0.00% |          7.47 |       1.00x |       0.00% |
| rapidjson_            |  751.47 | 119.82x | 11881.80% |          0.06 |       0.01x |     -99.17% |
| jsoncpp_              |  562.65 |  89.71x |  8871.10% |          0.08 |       0.01x |     -98.89% |
| nlohmann_             |  299.40 |  47.74x |  4673.72% |          0.16 |       0.02x |     -97.91% |
+-----------------------+---------+---------+-----------+---------------+-------------+-------------+ 


