+------------------------------------------------------------------------------------------------------------------------------+
|                                          emit CPU time (less is better): all files                                           |
+------------------------------------------+-----------+-----------+---------+----------+--------------+----------+------------+
| file                                     | size (KB) | rapidyaml |   fyaml |  yamlcpp | rapidyaml(x) | fyaml(x) | yamlcpp(x) |
+------------------------------------------+-----------+-----------+---------+----------+--------------+----------+------------+
| appveyor                                 |       2.1 |      0.00 |    0.03 |     0.19 |         0.01 |     0.14 |       1.00 |
| compile_commands                         |      46.8 |      0.06 |    0.11 |     7.47 |         0.01 |     0.01 |       1.00 |
| scalar_block_folded_multiline            |      72.6 |      0.03 |    1.44 |     9.89 |         0.00 |     0.15 |       1.00 |
| scalar_block_folded_singleline           |       5.3 |      0.00 |    0.11 |     0.67 |         0.01 |     0.16 |       1.00 |
| scalar_block_literal_multiline           |      72.6 |      0.05 |    1.41 |     2.51 |         0.02 |     0.56 |       1.00 |
| scalar_block_literal_singleline          |       5.3 |      0.01 |    0.11 |     0.69 |         0.01 |     0.16 |       1.00 |
| scalar_dquot_multiline                   |      72.2 |      0.10 |    1.52 |     7.80 |         0.01 |     0.19 |       1.00 |
| scalar_dquot_singleline                  |       4.8 |      0.01 |    0.02 |     0.56 |         0.01 |     0.04 |       1.00 |
| scalar_plain_multiline                   |      72.0 |      0.03 |    1.39 |     8.66 |         0.00 |     0.16 |       1.00 |
| scalar_plain_singleline                  |       4.7 |      0.00 |    0.10 |     0.59 |         0.01 |     0.16 |       1.00 |
| scalar_squot_multiline                   |      72.3 |      0.04 |    1.45 |     8.65 |         0.00 |     0.17 |       1.00 |
| scalar_squot_singleline                  |       4.8 |      0.00 |    0.03 |     0.57 |         0.01 |     0.05 |       1.00 |
| travis                                   |       4.1 |      0.00 |    0.06 |     0.36 |         0.01 |     0.17 |       1.00 |
| block                                    |   81682.7 |     70.77 | 2489.15 |  5999.67 |         0.01 |     0.41 |       1.00 |
| blueprints                               |    5246.3 |      7.37 |   88.17 |   511.41 |         0.01 |     0.17 |       1.00 |
| combase                                  |  146714.1 |    140.46 | 4152.95 | 15208.51 |         0.01 |     0.27 |       1.00 |
| flow                                     |   34643.8 |     54.83 | 1443.62 |  6569.22 |         0.01 |     0.22 |       1.00 |
| invItems                                 |   55781.7 |     96.29 | 2554.55 |  8036.29 |         0.01 |     0.32 |       1.00 |
| invNames                                 |   27707.5 |     41.52 | 1348.78 |  3960.40 |         0.01 |     0.34 |       1.00 |
| invPositions                             |   44653.4 |     69.66 | 2290.94 |  6243.92 |         0.01 |     0.37 |       1.00 |
| invUniqueNames                           |   24426.0 |     37.70 | 1163.79 |  3501.19 |         0.01 |     0.33 |       1.00 |
| small-test-case                          |     289.1 |      0.48 |    4.41 |    28.50 |         0.02 |     0.15 |       1.00 |
| trusty                                   |      59.5 |      0.07 |    1.11 |     4.41 |         0.02 |     0.25 |       1.00 |
| typeDogma                                |   21509.4 |     45.42 | 1034.49 |  3362.17 |         0.01 |     0.31 |       1.00 |
| typeIDs                                  |   79356.7 |     62.16 | 3290.79 |  7281.02 |         0.01 |     0.45 |       1.00 |
| typeMaterials                            |    2001.6 |      3.92 |   43.42 |   301.79 |         0.01 |     0.14 |       1.00 |
| style_maps_blck_outer1000_inner10        |      88.9 |      0.24 |    2.91 |    12.06 |         0.02 |     0.24 |       1.00 |
| style_maps_blck_outer1000_inner100       |     979.0 |      2.20 |   32.32 |   144.22 |         0.02 |     0.22 |       1.00 |
| style_maps_blck_outer1000_inner1000      |   10780.0 |     24.07 |  614.77 |  1648.82 |         0.01 |     0.37 |       1.00 |
| style_maps_flow_outer1000_inner10        |      72.9 |      0.22 |    1.93 |    13.38 |         0.02 |     0.14 |       1.00 |
| style_maps_flow_outer1000_inner100       |     783.0 |      1.98 |   26.52 |   165.15 |         0.01 |     0.16 |       1.00 |
| style_maps_flow_outer1000_inner1000      |    8784.0 |     22.30 |  595.32 |  1904.59 |         0.01 |     0.31 |       1.00 |
| style_maps_flow_outer1000_inner1000_json |    8784.0 |     22.55 |  595.01 |  1909.97 |         0.01 |     0.31 |       1.00 |
| style_maps_flow_outer1000_inner100_json  |     783.0 |      1.93 |   27.04 |   168.23 |         0.01 |     0.16 |       1.00 |
| style_maps_flow_outer1000_inner10_json   |      72.9 |      0.22 |    1.94 |    13.75 |         0.02 |     0.14 |       1.00 |
| style_seqs_blck_outer1000_inner10        |      78.9 |      0.17 |    2.35 |     7.71 |         0.02 |     0.31 |       1.00 |
| style_seqs_blck_outer1000_inner100       |     789.0 |      1.52 |   23.70 |    82.60 |         0.02 |     0.29 |       1.00 |
| style_seqs_blck_outer1000_inner1000      |    7890.0 |     18.29 |  313.52 |   832.83 |         0.02 |     0.38 |       1.00 |
| style_seqs_flow_outer1000_inner10        |      42.9 |      0.13 |    1.12 |     8.25 |         0.02 |     0.14 |       1.00 |
| style_seqs_flow_outer1000_inner100       |     393.0 |      1.04 |   11.06 |    86.80 |         0.01 |     0.13 |       1.00 |
| style_seqs_flow_outer1000_inner1000      |    3894.0 |     14.20 |  185.29 |   909.61 |         0.02 |     0.20 |       1.00 |
| style_seqs_flow_outer1000_inner1000_json |    3894.0 |     14.18 |  190.13 |   947.35 |         0.01 |     0.20 |       1.00 |
| style_seqs_flow_outer1000_inner100_json  |     393.0 |      1.04 |   11.23 |    86.15 |         0.01 |     0.13 |       1.00 |
| style_seqs_flow_outer1000_inner10_json   |      42.9 |      0.12 |    1.13 |     8.50 |         0.01 |     0.13 |       1.00 |
+------------------------------------------+-----------+-----------+---------+----------+--------------+----------+------------+
