+-----------------------------------------------------------------------------------------------------------------------------+
|                                            emit MB/s (more is better): all files                                            |
+------------------------------------------+-----------+-----------+---------+---------+--------------+----------+------------+
| file                                     | size (KB) | rapidyaml |   fyaml | yamlcpp | rapidyaml(x) | fyaml(x) | yamlcpp(x) |
+------------------------------------------+-----------+-----------+---------+---------+--------------+----------+------------+
| appveyor                                 |       2.1 |   1092.94 |   80.18 |   11.11 |        98.35 |     7.22 |       1.00 |
| compile_commands                         |      46.8 |    786.17 |  424.75 |    6.27 |       125.35 |    67.72 |       1.00 |
| scalar_block_folded_multiline            |      72.6 |   2542.99 |   50.53 |    7.34 |       346.59 |     6.89 |       1.00 |
| scalar_block_folded_singleline           |       5.3 |   1193.24 |   47.29 |    7.80 |       152.99 |     6.06 |       1.00 |
| scalar_block_literal_multiline           |      72.6 |   1559.00 |   51.51 |   28.91 |        53.92 |     1.78 |       1.00 |
| scalar_block_literal_singleline          |       5.3 |    971.97 |   48.84 |    7.60 |       127.93 |     6.43 |       1.00 |
| scalar_dquot_multiline                   |      72.2 |    757.37 |   47.59 |    9.25 |        81.89 |     5.15 |       1.00 |
| scalar_dquot_singleline                  |       4.8 |    676.69 |  194.97 |    8.61 |        78.61 |    22.65 |       1.00 |
| scalar_plain_multiline                   |      72.0 |   2586.38 |   51.83 |    8.31 |       311.06 |     6.23 |       1.00 |
| scalar_plain_singleline                  |       4.7 |   1293.87 |   48.18 |    7.86 |       164.56 |     6.13 |       1.00 |
| scalar_squot_multiline                   |      72.3 |   1879.63 |   49.70 |    8.35 |       224.99 |     5.95 |       1.00 |
| scalar_squot_singleline                  |       4.8 |   1116.94 |  171.44 |    8.44 |       132.32 |    20.31 |       1.00 |
| travis                                   |       4.1 |   1583.10 |   66.63 |   11.27 |       140.48 |     5.91 |       1.00 |
| block                                    |   81682.7 |   1154.18 |   32.82 |   13.61 |        84.78 |     2.41 |       1.00 |
| blueprints                               |    5246.3 |    711.72 |   59.50 |   10.26 |        69.38 |     5.80 |       1.00 |
| combase                                  |  146714.1 |   1044.52 |   35.33 |    9.65 |       108.28 |     3.66 |       1.00 |
| flow                                     |   34643.8 |    631.80 |   24.00 |    5.27 |       119.80 |     4.55 |       1.00 |
| invItems                                 |   55781.7 |    579.29 |   21.84 |    6.94 |        83.46 |     3.15 |       1.00 |
| invNames                                 |   27707.5 |    667.30 |   20.54 |    7.00 |        95.38 |     2.94 |       1.00 |
| invPositions                             |   44653.4 |    641.01 |   19.49 |    7.15 |        89.63 |     2.73 |       1.00 |
| invUniqueNames                           |   24426.0 |    647.85 |   20.99 |    6.98 |        92.86 |     3.01 |       1.00 |
| small-test-case                          |     289.1 |    603.72 |   65.57 |   10.14 |        59.51 |     6.46 |       1.00 |
| trusty                                   |      59.5 |    850.68 |   53.45 |   13.48 |        63.10 |     3.96 |       1.00 |
| typeDogma                                |   21509.4 |    473.60 |   20.79 |    6.40 |        74.03 |     3.25 |       1.00 |
| typeIDs                                  |   79356.7 |   1276.72 |   24.11 |   10.90 |       117.14 |     2.21 |       1.00 |
| typeMaterials                            |    2001.6 |    510.26 |   46.10 |    6.63 |        76.93 |     6.95 |       1.00 |
| style_maps_blck_outer1000_inner10        |      88.9 |    377.62 |   30.55 |    7.37 |        51.22 |     4.14 |       1.00 |
| style_maps_blck_outer1000_inner100       |     979.0 |    444.93 |   30.29 |    6.79 |        65.55 |     4.46 |       1.00 |
| style_maps_blck_outer1000_inner1000      |   10780.0 |    447.90 |   17.53 |    6.54 |        68.51 |     2.68 |       1.00 |
| style_maps_flow_outer1000_inner10        |      72.9 |    334.04 |   37.71 |    5.45 |        61.30 |     6.92 |       1.00 |
| style_maps_flow_outer1000_inner100       |     783.0 |    395.74 |   29.52 |    4.74 |        83.47 |     6.23 |       1.00 |
| style_maps_flow_outer1000_inner1000      |    8784.0 |    393.97 |   14.76 |    4.61 |        85.42 |     3.20 |       1.00 |
| style_maps_flow_outer1000_inner1000_json |    8784.0 |    389.52 |   14.76 |    4.60 |        84.70 |     3.21 |       1.00 |
| style_maps_flow_outer1000_inner100_json  |     783.0 |    405.84 |   28.95 |    4.65 |        87.20 |     6.22 |       1.00 |
| style_maps_flow_outer1000_inner10_json   |      72.9 |    337.60 |   37.59 |    5.30 |        63.66 |     7.09 |       1.00 |
| style_seqs_blck_outer1000_inner10        |      78.9 |    465.09 |   33.56 |   10.24 |        45.43 |     3.28 |       1.00 |
| style_seqs_blck_outer1000_inner100       |     789.0 |    519.11 |   33.29 |    9.55 |        54.35 |     3.49 |       1.00 |
| style_seqs_blck_outer1000_inner1000      |    7890.0 |    431.48 |   25.17 |    9.47 |        45.54 |     2.66 |       1.00 |
| style_seqs_flow_outer1000_inner10        |      42.9 |    342.90 |   38.43 |    5.20 |        65.91 |     7.39 |       1.00 |
| style_seqs_flow_outer1000_inner100       |     393.0 |    378.20 |   35.54 |    4.53 |        83.53 |     7.85 |       1.00 |
| style_seqs_flow_outer1000_inner1000      |    3894.0 |    274.24 |   21.02 |    4.28 |        64.06 |     4.91 |       1.00 |
| style_seqs_flow_outer1000_inner1000_json |    3894.0 |    274.56 |   20.48 |    4.11 |        66.80 |     4.98 |       1.00 |
| style_seqs_flow_outer1000_inner100_json  |     393.0 |    378.58 |   34.99 |    4.56 |        82.99 |     7.67 |       1.00 |
| style_seqs_flow_outer1000_inner10_json   |      42.9 |    348.48 |   37.99 |    5.05 |        69.03 |     7.52 |       1.00 |
+------------------------------------------+-----------+-----------+---------+---------+--------------+----------+------------+
