+---------------------------------------------------------------------------------------------------------------------+
|                                             parse benchmark: blueprints                                             |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  223.48 |  29.43x | 2842.92% |         23.48 |       0.03x |     -96.60% |
| ryml_ints_yaml_inplace_reuse             |  222.58 |  29.31x | 2831.10% |         23.57 |       0.03x |     -96.59% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  219.20 |  28.87x | 2786.66% |         23.93 |       0.03x |     -96.54% |
| ryml_ints_yaml_inplace_nofilter          |  114.14 |  15.03x | 1403.08% |         45.96 |       0.07x |     -93.35% |
| ryml_ints_yaml_inplace_reserve           |  223.52 |  29.44x | 2843.53% |         23.47 |       0.03x |     -96.60% |
| ryml_ints_yaml_inplace                   |  114.71 |  15.11x | 1410.59% |         45.74 |       0.07x |     -93.38% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  195.88 |  25.79x | 2479.47% |         26.78 |       0.04x |     -96.12% |
| ryml_yaml_inplace_reuse_nofilter         |  200.20 |  26.36x | 2536.40% |         26.21 |       0.04x |     -96.21% |
| ryml_yaml_inplace_reuse_reserve          |  200.73 |  26.43x | 2543.45% |         26.14 |       0.04x |     -96.22% |
| ryml_yaml_inplace_reuse                  |  199.83 |  26.32x | 2531.60% |         26.25 |       0.04x |     -96.20% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  196.07 |  25.82x | 2482.07% |         26.76 |       0.04x |     -96.13% |
| ryml_yaml_arena_reuse_nofilter           |   86.07 |  11.33x | 1033.50% |         60.95 |       0.09x |     -91.18% |
| ryml_yaml_arena_reuse_reserve            |  195.65 |  25.76x | 2476.49% |         26.81 |       0.04x |     -96.12% |
| ryml_yaml_arena_reuse                    |  195.86 |  25.79x | 2479.20% |         26.79 |       0.04x |     -96.12% |
| ryml_yaml_inplace_nofilter_reserve       |  198.73 |  26.17x | 2517.02% |         26.40 |       0.04x |     -96.18% |
| ryml_yaml_inplace_nofilter               |   98.08 |  12.92x | 1191.64% |         53.49 |       0.08x |     -92.26% |
| ryml_yaml_inplace_reserve                |  199.16 |  26.23x | 2522.77% |         26.34 |       0.04x |     -96.19% |
| ryml_yaml_inplace                        |   98.07 |  12.91x | 1191.46% |         53.50 |       0.08x |     -92.26% |
| ryml_yaml_arena_nofilter_reserve         |  194.37 |  25.60x | 2459.69% |         26.99 |       0.04x |     -96.09% |
| ryml_yaml_arena_nofilter                 |   86.82 |  11.43x | 1043.36% |         60.42 |       0.09x |     -91.25% |
| ryml_yaml_arena_reserve                  |  194.95 |  25.67x | 2467.28% |         26.91 |       0.04x |     -96.10% |
| ryml_yaml_arena                          |   85.98 |  11.32x | 1032.19% |         61.02 |       0.09x |     -91.17% |
| libyaml_arena                            |   51.06 |   6.72x |  572.44% |        102.74 |       0.15x |     -85.13% |
| libyaml_arena_reuse                      |   61.67 |   8.12x |  712.13% |         85.07 |       0.12x |     -87.69% |
| libfyaml_arena                           |    5.29 |   0.70x |  -30.31% |        991.39 |       1.43x |      43.50% |
| yamlcpp_arena                            |    7.59 |   1.00x |    0.00% |        690.88 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


