+---------------------------------------------------------------------------------------------------------------------+
|                                          parse benchmark: compile_commands                                          |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_estimate                       |  931.86 |  41.36x | 4036.49% |          0.05 |       0.02x |     -97.58% |
| ryml_ints_json_inplace_reuse_nofilter    |  630.53 |  27.99x | 2698.91% |          0.07 |       0.04x |     -96.43% |
| ryml_ints_json_inplace_reuse             |  632.54 |  28.08x | 2707.81% |          0.07 |       0.04x |     -96.44% |
| ryml_ints_json_inplace_nofilter_reserve  |  630.17 |  27.97x | 2697.29% |          0.07 |       0.04x |     -96.43% |
| ryml_ints_json_inplace_nofilter          |  318.88 |  14.15x | 1315.48% |          0.15 |       0.07x |     -92.94% |
| ryml_ints_json_inplace_reserve           |  632.88 |  28.09x | 2709.34% |          0.07 |       0.04x |     -96.44% |
| ryml_ints_json_inplace                   |  318.84 |  14.15x | 1315.34% |          0.15 |       0.07x |     -92.93% |
| ryml_ints_yaml_inplace_reuse_nofilter    |  618.04 |  27.43x | 2643.45% |          0.08 |       0.04x |     -96.35% |
| ryml_ints_yaml_inplace_reuse             |  617.61 |  27.42x | 2641.56% |          0.08 |       0.04x |     -96.35% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  615.54 |  27.32x | 2632.36% |          0.08 |       0.04x |     -96.34% |
| ryml_ints_yaml_inplace_nofilter          |  310.39 |  13.78x | 1277.79% |          0.15 |       0.07x |     -92.74% |
| ryml_ints_yaml_inplace_reserve           |  616.02 |  27.34x | 2634.48% |          0.08 |       0.04x |     -96.34% |
| ryml_ints_yaml_inplace                   |  310.96 |  13.80x | 1280.35% |          0.15 |       0.07x |     -92.76% |
| ryml_json_inplace_reuse_nofilter_reserve |  907.09 |  40.27x | 3926.55% |          0.05 |       0.02x |     -97.52% |
| ryml_json_inplace_reuse_nofilter         |  906.24 |  40.23x | 3922.77% |          0.05 |       0.02x |     -97.51% |
| ryml_json_inplace_reuse_reserve          |  906.59 |  40.24x | 3924.34% |          0.05 |       0.02x |     -97.52% |
| ryml_json_inplace_reuse                  |  908.00 |  40.31x | 3930.60% |          0.05 |       0.02x |     -97.52% |
| ryml_json_arena_reuse_nofilter_reserve   |  891.56 |  39.58x | 3857.60% |          0.05 |       0.03x |     -97.47% |
| ryml_json_arena_reuse_nofilter           |  892.54 |  39.62x | 3861.97% |          0.05 |       0.03x |     -97.48% |
