+---------------------------------------------------------------------------------------------------------------------+
|                                       parse benchmark: scalar_plain_singleline                                      |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  366.36 |  35.05x | 3404.69% |          0.01 |       0.03x |     -97.15% |
| ryml_ints_yaml_inplace_reuse             |  362.64 |  34.69x | 3369.13% |          0.01 |       0.03x |     -97.12% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  364.64 |  34.88x | 3388.32% |          0.01 |       0.03x |     -97.13% |
| ryml_ints_yaml_inplace_nofilter          |  185.02 |  17.70x | 1670.01% |          0.03 |       0.06x |     -94.35% |
| ryml_ints_yaml_inplace_reserve           |  361.16 |  34.55x | 3355.01% |          0.01 |       0.03x |     -97.11% |
| ryml_ints_yaml_inplace                   |  183.41 |  17.55x | 1654.52% |          0.03 |       0.06x |     -94.30% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  345.79 |  33.08x | 3207.92% |          0.01 |       0.03x |     -96.98% |
| ryml_yaml_inplace_reuse_nofilter         |  350.91 |  33.57x | 3256.89% |          0.01 |       0.03x |     -97.02% |
| ryml_yaml_inplace_reuse_reserve          |  347.77 |  33.27x | 3226.94% |          0.01 |       0.03x |     -96.99% |
| ryml_yaml_inplace_reuse                  |  347.55 |  33.25x | 3224.76% |          0.01 |       0.03x |     -96.99% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  348.66 |  33.35x | 3235.40% |          0.01 |       0.03x |     -97.00% |
| ryml_yaml_arena_reuse_nofilter           |  311.19 |  29.77x | 2876.92% |          0.02 |       0.03x |     -96.64% |
| ryml_yaml_arena_reuse_reserve            |  344.52 |  32.96x | 3195.82% |          0.01 |       0.03x |     -96.97% |
| ryml_yaml_arena_reuse                    |  346.06 |  33.11x | 3210.54% |          0.01 |       0.03x |     -96.98% |
| ryml_yaml_inplace_nofilter_reserve       |  348.98 |  33.38x | 3238.44% |          0.01 |       0.03x |     -97.00% |
| ryml_yaml_inplace_nofilter               |  322.85 |  30.88x | 2988.47% |          0.01 |       0.03x |     -96.76% |
| ryml_yaml_inplace_reserve                |  343.39 |  32.85x | 3185.04% |          0.01 |       0.03x |     -96.96% |
| ryml_yaml_inplace                        |  317.26 |  30.35x | 2935.07% |          0.01 |       0.03x |     -96.71% |
| ryml_yaml_arena_nofilter_reserve         |  345.67 |  33.07x | 3206.76% |          0.01 |       0.03x |     -96.98% |
| ryml_yaml_arena_nofilter                 |  311.66 |  29.81x | 2881.50% |          0.02 |       0.03x |     -96.65% |
| ryml_yaml_arena_reserve                  |  337.59 |  32.29x | 3129.47% |          0.01 |       0.03x |     -96.90% |
| ryml_yaml_arena                          |  321.43 |  30.75x | 2974.90% |          0.01 |       0.03x |     -96.75% |
| libyaml_arena                            |   81.04 |   7.75x |  675.29% |          0.06 |       0.13x |     -87.10% |
| libyaml_arena_reuse                      |   81.04 |   7.75x |  675.24% |          0.06 |       0.13x |     -87.10% |
| libfyaml_arena                           |   61.58 |   5.89x |  489.14% |          0.08 |       0.17x |     -83.03% |
| yamlcpp_arena                            |   10.45 |   1.00x |    0.00% |          0.45 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


