+---------------------------------------------------------------------------------------------------------------------+
|                                       parse benchmark: scalar_squot_singleline                                      |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  583.39 |  36.97x | 3596.87% |          0.01 |       0.03x |     -97.30% |
| ryml_ints_yaml_inplace_reuse             |  549.98 |  34.85x | 3385.14% |          0.01 |       0.03x |     -97.13% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  570.96 |  36.18x | 3518.11% |          0.01 |       0.03x |     -97.24% |
| ryml_ints_yaml_inplace_nofilter          |  293.66 |  18.61x | 1760.90% |          0.02 |       0.05x |     -94.63% |
| ryml_ints_yaml_inplace_reserve           |  545.09 |  34.54x | 3354.18% |          0.01 |       0.03x |     -97.10% |
| ryml_ints_yaml_inplace                   |  279.52 |  17.71x | 1671.29% |          0.02 |       0.06x |     -94.35% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  556.24 |  35.25x | 3424.83% |          0.01 |       0.03x |     -97.16% |
| ryml_yaml_inplace_reuse_nofilter         |  554.04 |  35.11x | 3410.83% |          0.01 |       0.03x |     -97.15% |
| ryml_yaml_inplace_reuse_reserve          |  529.31 |  33.54x | 3254.14% |          0.01 |       0.03x |     -97.02% |
| ryml_yaml_inplace_reuse                  |  528.47 |  33.49x | 3248.82% |          0.01 |       0.03x |     -97.01% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  548.75 |  34.77x | 3377.33% |          0.01 |       0.03x |     -97.12% |
| ryml_yaml_arena_reuse_nofilter           |  465.20 |  29.48x | 2847.92% |          0.01 |       0.03x |     -96.61% |
| ryml_yaml_arena_reuse_reserve            |  524.90 |  33.26x | 3226.23% |          0.01 |       0.03x |     -96.99% |
| ryml_yaml_arena_reuse                    |  522.95 |  33.14x | 3213.85% |          0.01 |       0.03x |     -96.98% |
| ryml_yaml_inplace_nofilter_reserve       |  556.43 |  35.26x | 3426.03% |          0.01 |       0.03x |     -97.16% |
| ryml_yaml_inplace_nofilter               |  482.63 |  30.58x | 2958.36% |          0.01 |       0.03x |     -96.73% |
| ryml_yaml_inplace_reserve                |  520.97 |  33.01x | 3201.29% |          0.01 |       0.03x |     -96.97% |
| ryml_yaml_inplace                        |  463.00 |  29.34x | 2833.96% |          0.01 |       0.03x |     -96.59% |
| ryml_yaml_arena_nofilter_reserve         |  546.87 |  34.65x | 3365.43% |          0.01 |       0.03x |     -97.11% |
| ryml_yaml_arena_nofilter                 |  480.42 |  30.44x | 2944.35% |          0.01 |       0.03x |     -96.72% |
| ryml_yaml_arena_reserve                  |  515.37 |  32.66x | 3165.79% |          0.01 |       0.03x |     -96.94% |
| ryml_yaml_arena                          |  468.30 |  29.68x | 2867.58% |          0.01 |       0.03x |     -96.63% |
| libyaml_arena                            |   84.40 |   5.35x |  434.85% |          0.06 |       0.19x |     -81.30% |
| libyaml_arena_reuse                      |   85.13 |   5.39x |  439.45% |          0.06 |       0.19x |     -81.46% |
| libfyaml_arena                           |   62.21 |   3.94x |  294.22% |          0.08 |       0.25x |     -74.63% |
| yamlcpp_arena                            |   15.78 |   1.00x |    0.00% |          0.31 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


