+------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                      parse CPU time (less is better): all files                                                      |
+------------------------------------------+-----------+-----------+----------+----------+---------+--------------+----------+------------+------------+
| file                                     | size (KB) | rapidyaml |    fyaml |  yamlcpp | libyaml | rapidyaml(x) | fyaml(x) | yamlcpp(x) | libyaml(x) |
+------------------------------------------+-----------+-----------+----------+----------+---------+--------------+----------+------------+------------+
| appveyor                                 |       2.1 |      0.01 |     0.04 |     0.20 |    0.03 |         0.04 |     0.22 |       1.00 |       0.15 |
| compile_commands                         |      46.8 |      0.05 |     0.31 |     2.08 |    0.34 |         0.03 |     0.15 |       1.00 |       0.17 |
| scalar_block_folded_multiline            |      72.6 |      0.13 |     0.40 |     2.42 |    0.43 |         0.05 |     0.17 |       1.00 |       0.18 |
| scalar_block_folded_singleline           |       5.3 |      0.02 |     0.08 |     0.30 |    0.05 |         0.06 |     0.26 |       1.00 |       0.17 |
| scalar_block_literal_multiline           |      72.6 |      0.13 |     0.39 |     2.37 |    0.43 |         0.05 |     0.17 |       1.00 |       0.18 |
| scalar_block_literal_singleline          |       5.3 |      0.02 |     0.08 |     0.31 |    0.05 |         0.06 |     0.25 |       1.00 |       0.17 |
| scalar_dquot_multiline                   |      72.2 |      0.29 |     0.42 |     2.85 |    0.50 |         0.10 |     0.15 |       1.00 |       0.18 |
| scalar_dquot_singleline                  |       4.8 |      0.01 |     0.08 |     0.32 |    0.06 |         0.03 |     0.24 |       1.00 |       0.18 |
| scalar_plain_multiline                   |      72.0 |      0.28 |     0.42 |     4.96 |    0.53 |         0.06 |     0.08 |       1.00 |       0.11 |
| scalar_plain_singleline                  |       4.7 |      0.01 |     0.08 |     0.45 |    0.06 |         0.03 |     0.17 |       1.00 |       0.13 |
| scalar_squot_multiline                   |      72.3 |      0.20 |     0.42 |     2.62 |    0.50 |         0.08 |     0.16 |       1.00 |       0.19 |
| scalar_squot_singleline                  |       4.8 |      0.01 |     0.08 |     0.31 |    0.06 |         0.03 |     0.25 |       1.00 |       0.19 |
| travis                                   |       4.1 |      0.01 |     0.07 |     0.35 |    0.05 |         0.04 |     0.19 |       1.00 |       0.13 |
| block                                    |   81682.7 |    292.58 |  1452.31 |  8116.31 | 1148.08 |         0.04 |     0.18 |       1.00 |       0.14 |
| blueprints                               |    5246.3 |     26.14 |   991.39 |   690.88 |   85.07 |         0.04 |     1.43 |       1.00 |       0.12 |
| combase                                  |  146714.1 |    482.95 |  3691.64 | 13619.18 | 1865.50 |         0.04 |     0.27 |       1.00 |       0.14 |
| flow                                     |   34643.8 |    151.90 |  1228.65 |  6027.34 |  934.15 |         0.03 |     0.20 |       1.00 |       0.15 |
| invItems                                 |   55781.7 |    315.56 |  3293.16 | 10284.48 | 1305.74 |         0.03 |     0.32 |       1.00 |       0.13 |
| invNames                                 |   27707.5 |    133.64 |  1224.94 |  4202.34 |  589.54 |         0.03 |     0.29 |       1.00 |       0.14 |
| invPositions                             |   44653.4 |    228.94 |  2202.63 |  7158.36 | 1089.98 |         0.03 |     0.31 |       1.00 |       0.15 |
| invUniqueNames                           |   24426.0 |    122.87 |  1196.98 |  3907.24 |  544.29 |         0.03 |     0.31 |       1.00 |       0.14 |
| small-test-case                          |     289.1 |      0.99 |     5.77 |    18.68 |    3.76 |         0.05 |     0.31 |       1.00 |       0.20 |
| trusty                                   |      59.5 |      0.24 |     1.63 |     5.87 |    0.00 |         0.04 |     0.28 |       1.00 |       0.00 |
| typeDogma                                |   21509.4 |    138.10 | 20847.88 |  3974.45 |  549.54 |         0.03 |     5.25 |       1.00 |       0.14 |
| typeIDs                                  |   79356.7 |    291.98 |     0.00 |  5715.89 |  806.07 |         0.05 |     0.00 |       1.00 |       0.14 |
| typeMaterials                            |    2001.6 |     11.64 |  2921.78 |   343.38 |   44.23 |         0.03 |     8.51 |       1.00 |       0.13 |
| style_maps_blck_outer1000_inner10        |      88.9 |      0.77 |     6.98 |    21.18 |    2.69 |         0.04 |     0.33 |       1.00 |       0.13 |
