+----------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       parse MB/s (more is better): all files                                                       |
+------------------------------------------+-----------+-----------+---------+---------+---------+--------------+----------+------------+------------+
| file                                     | size (KB) | rapidyaml |   fyaml | yamlcpp | libyaml | rapidyaml(x) | fyaml(x) | yamlcpp(x) | libyaml(x) |
+------------------------------------------+-----------+-----------+---------+---------+---------+--------------+----------+------------+------------+
| appveyor                                 |       2.1 |    277.38 |   48.17 |   10.55 |   70.97 |        26.30 |     4.57 |       1.00 |       6.73 |
| compile_commands                         |      46.8 |    881.30 |  149.15 |   22.53 |  135.79 |        39.12 |     6.62 |       1.00 |       6.03 |
| scalar_block_folded_multiline            |      72.6 |    558.74 |  181.15 |   29.93 |  168.58 |        18.67 |     6.05 |       1.00 |       5.63 |
| scalar_block_folded_singleline           |       5.3 |    314.38 |   67.45 |   17.38 |  100.24 |        18.09 |     3.88 |       1.00 |       5.77 |
| scalar_block_literal_multiline           |      72.6 |    559.70 |  185.13 |   30.57 |  167.72 |        18.31 |     6.06 |       1.00 |       5.49 |
| scalar_block_literal_singleline          |       5.3 |    292.57 |   65.98 |   16.81 |   98.49 |        17.40 |     3.92 |       1.00 |       5.86 |
| scalar_dquot_multiline                   |      72.2 |    246.07 |  170.46 |   25.29 |  143.97 |         9.73 |     6.74 |       1.00 |       5.69 |
| scalar_dquot_singleline                  |       4.8 |    522.64 |   63.18 |   15.32 |   84.39 |        34.12 |     4.13 |       1.00 |       5.51 |
| scalar_plain_multiline                   |      72.0 |    256.36 |  172.62 |   14.53 |  136.82 |        17.64 |    11.88 |       1.00 |       9.41 |
| scalar_plain_singleline                  |       4.7 |    347.77 |   61.58 |   10.45 |   81.04 |        33.27 |     5.89 |       1.00 |       7.75 |
| scalar_squot_multiline                   |      72.3 |    367.45 |  170.14 |   27.63 |  143.94 |        13.30 |     6.16 |       1.00 |       5.21 |
| scalar_squot_singleline                  |       4.8 |    529.31 |   62.21 |   15.78 |   85.13 |        33.54 |     3.94 |       1.00 |       5.39 |
| travis                                   |       4.1 |    315.79 |   62.47 |   11.71 |   87.20 |        26.97 |     5.34 |       1.00 |       7.45 |
| block                                    |   81682.7 |    279.18 |   56.24 |   10.06 |   71.15 |        27.74 |     5.59 |       1.00 |       7.07 |
| blueprints                               |    5246.3 |    200.73 |    5.29 |    7.59 |   61.67 |        26.43 |     0.70 |       1.00 |       8.12 |
| combase                                  |  146714.1 |    303.79 |   39.74 |   10.77 |   78.65 |        28.20 |     3.69 |       1.00 |       7.30 |
| flow                                     |   34643.8 |    228.07 |   28.20 |    5.75 |   37.09 |        39.68 |     4.91 |       1.00 |       6.45 |
| invItems                                 |   55781.7 |    176.77 |   16.94 |    5.42 |   42.72 |        32.59 |     3.12 |       1.00 |       7.88 |
| invNames                                 |   27707.5 |    207.33 |   22.62 |    6.59 |   47.00 |        31.45 |     3.43 |       1.00 |       7.13 |
| invPositions                             |   44653.4 |    195.04 |   20.27 |    6.24 |   40.97 |        31.27 |     3.25 |       1.00 |       6.57 |
| invUniqueNames                           |   24426.0 |    198.80 |   20.41 |    6.25 |   44.88 |        31.80 |     3.26 |       1.00 |       7.18 |
| small-test-case                          |     289.1 |    291.77 |   50.14 |   15.48 |   76.99 |        18.85 |     3.24 |       1.00 |       4.97 |
| trusty                                   |      59.5 |    245.59 |   36.38 |   10.13 |    0.00 |        24.24 |     3.59 |       1.00 |       0.00 |
| typeDogma                                |   21509.4 |    155.76 |    1.03 |    5.41 |   39.14 |        28.78 |     0.19 |       1.00 |       7.23 |
| typeIDs                                  |   79356.7 |    271.79 |    0.00 |   13.88 |   98.45 |        19.58 |     0.00 |       1.00 |       7.09 |
| typeMaterials                            |    2001.6 |    171.91 |    0.69 |    5.83 |   45.26 |        29.49 |     0.12 |       1.00 |       7.76 |
| style_maps_blck_outer1000_inner10        |      88.9 |    114.93 |   12.74 |    4.20 |   33.10 |        27.37 |     3.03 |       1.00 |       7.88 |
| style_maps_blck_outer1000_inner100       |     979.0 |    129.94 |    5.00 |    4.35 |   36.69 |        29.85 |     1.15 |       1.00 |       8.43 |
| style_maps_blck_outer1000_inner1000      |   10780.0 |    138.78 |    0.78 |    4.43 |   40.27 |        31.30 |     0.18 |       1.00 |       9.08 |
| style_maps_flow_outer1000_inner10        |      72.9 |    107.74 |   10.32 |    3.68 |   24.58 |        29.31 |     2.81 |       1.00 |       6.69 |
| style_maps_flow_outer1000_inner100       |     783.0 |    120.65 |    4.06 |    3.66 |   23.60 |        32.92 |     1.11 |       1.00 |       6.44 |
| style_maps_flow_outer1000_inner1000      |    8784.0 |    131.25 |    0.63 |    3.78 |   31.17 |        34.71 |     0.17 |       1.00 |       8.24 |
| style_maps_flow_outer1000_inner1000_json |    8784.0 |    131.42 |    0.63 |    3.64 |   30.35 |        36.07 |     0.17 |       1.00 |       8.33 |
| style_maps_flow_outer1000_inner100_json  |     783.0 |    122.02 |    4.05 |    3.63 |   23.20 |        33.64 |     1.12 |       1.00 |       6.40 |
| style_maps_flow_outer1000_inner10_json   |      72.9 |    110.57 |   10.35 |    3.59 |   24.44 |        30.79 |     2.88 |       1.00 |       6.81 |
| style_seqs_blck_outer1000_inner10        |      78.9 |    136.37 |   25.86 |    5.73 |   46.30 |        23.78 |     4.51 |       1.00 |       8.07 |
| style_seqs_blck_outer1000_inner100       |     789.0 |    143.51 |   26.64 |    5.53 |   47.31 |        25.97 |     4.82 |       1.00 |       8.56 |
| style_seqs_blck_outer1000_inner1000      |    7890.0 |    140.34 |   26.93 |    5.36 |   49.72 |        26.17 |     5.02 |       1.00 |       9.27 |
| style_seqs_flow_outer1000_inner10        |      42.9 |    113.86 |   16.10 |    3.92 |   26.13 |        29.04 |     4.11 |       1.00 |       6.67 |
| style_seqs_flow_outer1000_inner100       |     393.0 |    117.08 |   15.98 |    3.56 |   22.64 |        32.89 |     4.49 |       1.00 |       6.36 |
| style_seqs_flow_outer1000_inner1000      |    3894.0 |    106.76 |   14.26 |    3.37 |   26.15 |        31.66 |     4.23 |       1.00 |       7.75 |
| style_seqs_flow_outer1000_inner1000_json |    3894.0 |    107.99 |   13.90 |    3.12 |   24.51 |        34.60 |     4.45 |       1.00 |       7.85 |
| style_seqs_flow_outer1000_inner100_json  |     393.0 |    116.56 |   15.68 |    3.53 |   21.95 |        33.01 |     4.44 |       1.00 |       6.22 |
| style_seqs_flow_outer1000_inner10_json   |      42.9 |    117.38 |   16.29 |    3.85 |   25.47 |        30.47 |     4.23 |       1.00 |       6.61 |
+------------------------------------------+-----------+-----------+---------+---------+---------+--------------+----------+------------+------------+
