+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_maps_flow_outer1000_inner100                                 |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  134.34 |  36.66x | 3566.09% |          5.83 |       0.03x |     -97.27% |
| ryml_ints_yaml_inplace_reuse             |  134.40 |  36.68x | 3567.68% |          5.83 |       0.03x |     -97.27% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  134.44 |  36.69x | 3568.81% |          5.82 |       0.03x |     -97.27% |
| ryml_ints_yaml_inplace_nofilter          |   71.52 |  19.52x | 1851.67% |         10.95 |       0.05x |     -94.88% |
| ryml_ints_yaml_inplace_reserve           |  133.82 |  36.52x | 3552.12% |          5.85 |       0.03x |     -97.26% |
| ryml_ints_yaml_inplace                   |   71.46 |  19.50x | 1850.06% |         10.96 |       0.05x |     -94.87% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  121.22 |  33.08x | 3208.00% |          6.46 |       0.03x |     -96.98% |
| ryml_yaml_inplace_reuse_nofilter         |  121.00 |  33.02x | 3202.14% |          6.47 |       0.03x |     -96.97% |
| ryml_yaml_inplace_reuse_reserve          |  120.65 |  32.92x | 3192.45% |          6.49 |       0.03x |     -96.96% |
| ryml_yaml_inplace_reuse                  |  121.19 |  33.07x | 3207.42% |          6.46 |       0.03x |     -96.98% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  119.44 |  32.60x | 3159.67% |          6.56 |       0.03x |     -96.93% |
| ryml_yaml_arena_reuse_nofilter           |   49.90 |  13.62x | 1261.66% |         15.69 |       0.07x |     -92.66% |
| ryml_yaml_arena_reuse_reserve            |  119.29 |  32.55x | 3155.37% |          6.56 |       0.03x |     -96.93% |
| ryml_yaml_arena_reuse                    |  119.68 |  32.66x | 3166.12% |          6.54 |       0.03x |     -96.94% |
| ryml_yaml_inplace_nofilter_reserve       |  121.25 |  33.09x | 3208.87% |          6.46 |       0.03x |     -96.98% |
| ryml_yaml_inplace_nofilter               |   82.54 |  22.53x | 2152.65% |          9.49 |       0.04x |     -95.56% |
| ryml_yaml_inplace_reserve                |  121.41 |  33.13x | 3213.35% |          6.45 |       0.03x |     -96.98% |
| ryml_yaml_inplace                        |   82.47 |  22.51x | 2150.66% |          9.49 |       0.04x |     -95.56% |
| ryml_yaml_arena_nofilter_reserve         |  119.52 |  32.62x | 3161.86% |          6.55 |       0.03x |     -96.93% |
| ryml_yaml_arena_nofilter                 |   81.73 |  22.30x | 2130.31% |          9.58 |       0.04x |     -95.52% |
| ryml_yaml_arena_reserve                  |  119.60 |  32.64x | 3163.84% |          6.55 |       0.03x |     -96.94% |
| ryml_yaml_arena                          |   82.61 |  22.54x | 2154.32% |          9.48 |       0.04x |     -95.56% |
| libyaml_arena                            |   24.26 |   6.62x |  562.06% |         32.28 |       0.15x |     -84.90% |
| libyaml_arena_reuse                      |   23.60 |   6.44x |  544.12% |         33.17 |       0.16x |     -84.47% |
| libfyaml_arena                           |    4.06 |   1.11x |   10.72% |        193.00 |       0.90x |      -9.68% |
| yamlcpp_arena                            |    3.66 |   1.00x |    0.00% |        213.68 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


