+---------------------------------------------------------------------------------------------------------------------+
|                              parse benchmark: style_maps_flow_outer1000_inner1000_json                              |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  145.08 |  39.82x | 3882.47% |         60.54 |       0.03x |     -97.49% |
| ryml_ints_yaml_inplace_reuse             |  145.17 |  39.85x | 3884.76% |         60.51 |       0.03x |     -97.49% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  144.45 |  39.65x | 3865.08% |         60.81 |       0.03x |     -97.48% |
| ryml_ints_yaml_inplace_nofilter          |   76.83 |  21.09x | 2008.83% |        114.34 |       0.05x |     -95.26% |
| ryml_ints_yaml_inplace_reserve           |  144.61 |  39.70x | 3869.57% |         60.74 |       0.03x |     -97.48% |
| ryml_ints_yaml_inplace                   |   76.97 |  21.13x | 2012.89% |        114.12 |       0.05x |     -95.27% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  131.52 |  36.10x | 3510.28% |         66.79 |       0.03x |     -97.23% |
| ryml_yaml_inplace_reuse_nofilter         |  131.45 |  36.08x | 3508.36% |         66.82 |       0.03x |     -97.23% |
| ryml_yaml_inplace_reuse_reserve          |  131.42 |  36.07x | 3507.43% |         66.84 |       0.03x |     -97.23% |
| ryml_yaml_inplace_reuse                  |  131.46 |  36.09x | 3508.56% |         66.82 |       0.03x |     -97.23% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  129.25 |  35.48x | 3447.92% |         67.96 |       0.03x |     -97.18% |
| ryml_yaml_arena_reuse_nofilter           |   67.78 |  18.60x | 1760.50% |        129.60 |       0.05x |     -94.63% |
| ryml_yaml_arena_reuse_reserve            |  129.59 |  35.57x | 3457.30% |         67.78 |       0.03x |     -97.19% |
| ryml_yaml_arena_reuse                    |  129.28 |  35.49x | 3448.56% |         67.95 |       0.03x |     -97.18% |
| ryml_yaml_inplace_nofilter_reserve       |  130.28 |  35.76x | 3476.20% |         67.42 |       0.03x |     -97.20% |
| ryml_yaml_inplace_nofilter               |   69.51 |  19.08x | 1808.00% |        126.37 |       0.05x |     -94.76% |
| ryml_yaml_inplace_reserve                |  129.09 |  35.43x | 3443.41% |         68.05 |       0.03x |     -97.18% |
| ryml_yaml_inplace                        |   69.43 |  19.06x | 1805.90% |        126.51 |       0.05x |     -94.75% |
| ryml_yaml_arena_nofilter_reserve         |  128.25 |  35.21x | 3420.53% |         68.49 |       0.03x |     -97.16% |
| ryml_yaml_arena_nofilter                 |   68.87 |  18.90x | 1790.49% |        127.54 |       0.05x |     -94.71% |
| ryml_yaml_arena_reserve                  |  128.45 |  35.26x | 3425.77% |         68.39 |       0.03x |     -97.16% |
| ryml_yaml_arena                          |   68.49 |  18.80x | 1779.89% |        128.26 |       0.05x |     -94.68% |
| libyaml_arena                            |   26.58 |   7.30x |  629.54% |        330.50 |       0.14x |     -86.29% |
| libyaml_arena_reuse                      |   30.35 |   8.33x |  733.03% |        289.44 |       0.12x |     -88.00% |
| libfyaml_arena                           |    0.63 |   0.17x |  -82.76% |      13988.91 |       5.80x |     480.17% |
| yamlcpp_arena                            |    3.64 |   1.00x |    0.00% |       2411.17 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


