+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_seqs_flow_outer1000_inner1000                                |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  149.42 |  44.31x | 4331.27% |         26.06 |       0.02x |     -97.74% |
| ryml_ints_yaml_inplace_reuse             |  146.93 |  43.58x | 4257.56% |         26.50 |       0.02x |     -97.71% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  149.29 |  44.28x | 4327.52% |         26.08 |       0.02x |     -97.74% |
| ryml_ints_yaml_inplace_nofilter          |   81.77 |  24.25x | 2324.92% |         47.62 |       0.04x |     -95.88% |
| ryml_ints_yaml_inplace_reserve           |  149.81 |  44.43x | 4342.90% |         25.99 |       0.02x |     -97.75% |
| ryml_ints_yaml_inplace                   |   81.58 |  24.19x | 2319.38% |         47.73 |       0.04x |     -95.87% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  107.50 |  31.88x | 3088.20% |         36.22 |       0.03x |     -96.86% |
| ryml_yaml_inplace_reuse_nofilter         |  107.67 |  31.93x | 3093.31% |         36.16 |       0.03x |     -96.87% |
| ryml_yaml_inplace_reuse_reserve          |  106.76 |  31.66x | 3066.09% |         36.48 |       0.03x |     -96.84% |
| ryml_yaml_inplace_reuse                  |  107.53 |  31.89x | 3089.02% |         36.21 |       0.03x |     -96.86% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  105.94 |  31.42x | 3041.84% |         36.76 |       0.03x |     -96.82% |
| ryml_yaml_arena_reuse_nofilter           |   40.61 |  12.04x | 1104.39% |         95.89 |       0.08x |     -91.70% |
| ryml_yaml_arena_reuse_reserve            |  106.11 |  31.47x | 3046.80% |         36.70 |       0.03x |     -96.82% |
| ryml_yaml_arena_reuse                    |  105.95 |  31.42x | 3042.05% |         36.75 |       0.03x |     -96.82% |
| ryml_yaml_inplace_nofilter_reserve       |  105.82 |  31.38x | 3038.30% |         36.80 |       0.03x |     -96.81% |
| ryml_yaml_inplace_nofilter               |   40.89 |  12.13x | 1112.56% |         95.24 |       0.08x |     -91.75% |
| ryml_yaml_inplace_reserve                |  105.21 |  31.20x | 3020.28% |         37.01 |       0.03x |     -96.80% |
| ryml_yaml_inplace                        |   40.70 |  12.07x | 1107.10% |         95.67 |       0.08x |     -91.72% |
| ryml_yaml_arena_nofilter_reserve         |  103.85 |  30.80x | 2979.97% |         37.50 |       0.03x |     -96.75% |
| ryml_yaml_arena_nofilter                 |   39.46 |  11.70x | 1070.37% |         98.67 |       0.09x |     -91.46% |
| ryml_yaml_arena_reserve                  |  104.24 |  30.92x | 2991.58% |         37.35 |       0.03x |     -96.77% |
| ryml_yaml_arena                          |   40.30 |  11.95x | 1095.24% |         96.62 |       0.08x |     -91.63% |
| libyaml_arena                            |   20.28 |   6.01x |  501.49% |        192.00 |       0.17x |     -83.37% |
| libyaml_arena_reuse                      |   26.15 |   7.75x |  675.48% |        148.92 |       0.13x |     -87.10% |
| libfyaml_arena                           |   14.26 |   4.23x |  322.83% |        273.12 |       0.24x |     -76.35% |
| yamlcpp_arena                            |    3.37 |   1.00x |    0.00% |       1154.85 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


