+---------------------------------------------------------------------------------------------------------------------+
|                                              parse benchmark: typeDogma                                             |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  180.45 |  33.34x | 3234.35% |        119.20 |       0.03x |     -97.00% |
| ryml_ints_yaml_inplace_reuse             |  180.57 |  33.37x | 3236.61% |        119.12 |       0.03x |     -97.00% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  180.40 |  33.33x | 3233.33% |        119.23 |       0.03x |     -97.00% |
| ryml_ints_yaml_inplace_nofilter          |   91.90 |  16.98x | 1598.02% |        234.06 |       0.06x |     -94.11% |
| ryml_ints_yaml_inplace_reserve           |  180.59 |  33.37x | 3236.85% |        119.11 |       0.03x |     -97.00% |
| ryml_ints_yaml_inplace                   |   92.28 |  17.05x | 1605.18% |        233.08 |       0.06x |     -94.14% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  155.56 |  28.74x | 2774.44% |        138.27 |       0.03x |     -96.52% |
| ryml_yaml_inplace_reuse_nofilter         |  155.62 |  28.75x | 2775.48% |        138.22 |       0.03x |     -96.52% |
| ryml_yaml_inplace_reuse_reserve          |  155.76 |  28.78x | 2778.05% |        138.10 |       0.03x |     -96.53% |
| ryml_yaml_inplace_reuse                  |  155.54 |  28.74x | 2774.03% |        138.29 |       0.03x |     -96.52% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  153.33 |  28.33x | 2733.27% |        140.28 |       0.04x |     -96.47% |
| ryml_yaml_arena_reuse_nofilter           |   77.79 |  14.37x | 1337.35% |        276.51 |       0.07x |     -93.04% |
| ryml_yaml_arena_reuse_reserve            |  153.07 |  28.28x | 2728.31% |        140.52 |       0.04x |     -96.46% |
| ryml_yaml_arena_reuse                    |  153.18 |  28.30x | 2730.46% |        140.42 |       0.04x |     -96.47% |
| ryml_yaml_inplace_nofilter_reserve       |  154.88 |  28.62x | 2761.83% |        138.88 |       0.03x |     -96.51% |
| ryml_yaml_inplace_nofilter               |   79.42 |  14.68x | 1367.54% |        270.82 |       0.07x |     -93.19% |
| ryml_yaml_inplace_reserve                |  153.95 |  28.45x | 2744.68% |        139.72 |       0.04x |     -96.48% |
| ryml_yaml_inplace                        |   79.57 |  14.70x | 1370.22% |        270.33 |       0.07x |     -93.20% |
| ryml_yaml_arena_nofilter_reserve         |  152.37 |  28.16x | 2715.50% |        141.16 |       0.04x |     -96.45% |
| ryml_yaml_arena_nofilter                 |   78.82 |  14.56x | 1356.41% |        272.89 |       0.07x |     -93.13% |
| ryml_yaml_arena_reserve                  |  152.70 |  28.22x | 2721.61% |        140.86 |       0.04x |     -96.46% |
| ryml_yaml_arena                          |   78.56 |  14.52x | 1351.55% |        273.81 |       0.07x |     -93.11% |
| libyaml_arena                            |   39.55 |   7.31x |  630.78% |        543.86 |       0.14x |     -86.32% |
| libyaml_arena_reuse                      |   39.14 |   7.23x |  623.23% |        549.54 |       0.14x |     -86.17% |
| libfyaml_arena                           |    1.03 |   0.19x |  -80.94% |      20847.88 |       5.25x |     424.55% |
| yamlcpp_arena                            |    5.41 |   1.00x |    0.00% |       3974.45 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


