+---------------------------------------------------------------------------------------------------------------------+
|                                            parse benchmark: typeMaterials                                           |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  193.01 |  33.11x | 3211.18% |         10.37 |       0.03x |     -96.98% |
| ryml_ints_yaml_inplace_reuse             |  192.75 |  33.07x | 3206.80% |         10.38 |       0.03x |     -96.98% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  193.50 |  33.20x | 3219.63% |         10.34 |       0.03x |     -96.99% |
| ryml_ints_yaml_inplace_nofilter          |   99.86 |  17.13x | 1613.10% |         20.04 |       0.06x |     -94.16% |
| ryml_ints_yaml_inplace_reserve           |  192.72 |  33.06x | 3206.29% |         10.39 |       0.03x |     -96.98% |
| ryml_ints_yaml_inplace                   |   99.25 |  17.03x | 1602.70% |         20.17 |       0.06x |     -94.13% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  171.31 |  29.39x | 2838.88% |         11.68 |       0.03x |     -96.60% |
| ryml_yaml_inplace_reuse_nofilter         |  172.07 |  29.52x | 2852.05% |         11.63 |       0.03x |     -96.61% |
| ryml_yaml_inplace_reuse_reserve          |  171.91 |  29.49x | 2849.26% |         11.64 |       0.03x |     -96.61% |
| ryml_yaml_inplace_reuse                  |  170.94 |  29.33x | 2832.55% |         11.71 |       0.03x |     -96.59% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  168.34 |  28.88x | 2788.08% |         11.89 |       0.03x |     -96.54% |
| ryml_yaml_arena_reuse_nofilter           |   71.29 |  12.23x | 1122.99% |         28.08 |       0.08x |     -91.82% |
| ryml_yaml_arena_reuse_reserve            |  168.06 |  28.83x | 2783.16% |         11.91 |       0.03x |     -96.53% |
| ryml_yaml_arena_reuse                    |  168.44 |  28.90x | 2789.71% |         11.88 |       0.03x |     -96.54% |
| ryml_yaml_inplace_nofilter_reserve       |  171.95 |  29.50x | 2849.90% |         11.64 |       0.03x |     -96.61% |
| ryml_yaml_inplace_nofilter               |   87.66 |  15.04x | 1403.89% |         22.83 |       0.07x |     -93.35% |
| ryml_yaml_inplace_reserve                |  171.06 |  29.35x | 2834.72% |         11.70 |       0.03x |     -96.59% |
| ryml_yaml_inplace                        |   87.48 |  15.01x | 1400.74% |         22.88 |       0.07x |     -93.34% |
| ryml_yaml_arena_nofilter_reserve         |  168.72 |  28.95x | 2794.56% |         11.86 |       0.03x |     -96.55% |
| ryml_yaml_arena_nofilter                 |   86.96 |  14.92x | 1391.92% |         23.02 |       0.07x |     -93.30% |
| ryml_yaml_arena_reserve                  |  168.51 |  28.91x | 2790.84% |         11.88 |       0.03x |     -96.54% |
| ryml_yaml_arena                          |   86.63 |  14.86x | 1386.24% |         23.10 |       0.07x |     -93.27% |
| libyaml_arena                            |   40.15 |   6.89x |  588.83% |         49.85 |       0.15x |     -85.48% |
| libyaml_arena_reuse                      |   45.26 |   7.76x |  676.43% |         44.23 |       0.13x |     -87.12% |
| libfyaml_arena                           |    0.69 |   0.12x |  -88.25% |       2921.78 |       8.51x |     750.88% |
| yamlcpp_arena                            |    5.83 |   1.00x |    0.00% |        343.38 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


