+--------------------------------------------------------------------------------------------------------+
|                                 emit MB/s (more is better): all files                                  |
+------------------------------------------+-----------+-----------+---------+--------------+------------+
| file                                     | size (KB) | rapidyaml | yamlcpp | rapidyaml(x) | yamlcpp(x) |
+------------------------------------------+-----------+-----------+---------+--------------+------------+
| appveyor                                 |       2.2 |   1010.35 |   12.63 |        80.01 |       1.00 |
| compile_commands                         |      47.2 |    751.64 |    8.39 |        89.60 |       1.00 |
| scalar_block_folded_multiline            |      73.4 |   1380.82 |    8.19 |       168.63 |       1.00 |
| scalar_block_folded_singleline           |       5.4 |    922.62 |    8.42 |       109.52 |       1.00 |
| scalar_block_literal_multiline           |      73.4 |   1593.35 |   22.22 |        71.70 |       1.00 |
| scalar_block_literal_singleline          |       5.4 |   1047.30 |    8.38 |       125.00 |       1.00 |
| scalar_dquot_multiline                   |      72.9 |    870.83 |   10.66 |        81.67 |       1.00 |
| scalar_dquot_singleline                  |       4.9 |    676.00 |   10.04 |        67.31 |       1.00 |
| scalar_plain_multiline                   |      72.8 |   2015.41 |   10.64 |       189.37 |       1.00 |
| scalar_plain_singleline                  |       4.8 |   1057.08 |    9.22 |       114.60 |       1.00 |
| scalar_squot_multiline                   |      73.0 |   1046.31 |   10.46 |       100.00 |       1.00 |
| scalar_squot_singleline                  |       4.9 |    747.30 |   10.07 |        74.21 |       1.00 |
| travis                                   |       4.2 |   1182.86 |   12.67 |        93.39 |       1.00 |
| block                                    |   81682.7 |   1064.90 |   12.05 |        88.41 |       1.00 |
| blueprints                               |    5246.3 |    629.56 |    8.84 |        71.25 |       1.00 |
| combase                                  |  146714.1 |    873.46 |    9.58 |        91.16 |       1.00 |
| flow                                     |   34643.8 |    518.92 |    5.64 |        91.98 |       1.00 |
| invItems                                 |   55781.7 |    555.34 |    6.46 |        86.02 |       1.00 |
| invNames                                 |   27707.5 |    618.59 |    6.85 |        90.35 |       1.00 |
| invPositions                             |   44653.4 |    571.56 |    6.82 |        83.80 |       1.00 |
| invUniqueNames                           |   24426.0 |    590.57 |    6.71 |        88.02 |       1.00 |
| small-test-case                          |     289.1 |    544.26 |   10.69 |        50.90 |       1.00 |
| trusty                                   |      59.5 |    725.55 |   13.32 |        54.47 |       1.00 |
| typeDogma                                |   21509.4 |    430.19 |    5.78 |        74.38 |       1.00 |
| typeIDs                                  |   79356.7 |   1015.77 |   11.29 |        90.00 |       1.00 |
| typeMaterials                            |    2001.6 |    483.29 |    5.96 |        81.11 |       1.00 |
| style_maps_blck_outer1000_inner10        |      98.9 |    429.70 |    6.88 |        62.46 |       1.00 |
| style_maps_blck_outer1000_inner100       |    1079.0 |    480.39 |    5.88 |        81.74 |       1.00 |
| style_maps_blck_outer1000_inner1000      |   11780.0 |    490.05 |    5.84 |        83.85 |       1.00 |
| style_maps_flow_outer1000_inner10        |      73.9 |    294.29 |    4.84 |        60.84 |       1.00 |
| style_maps_flow_outer1000_inner100       |     784.0 |    319.30 |    4.07 |        78.48 |       1.00 |
| style_maps_flow_outer1000_inner1000      |    8785.0 |    332.23 |    4.32 |        76.82 |       1.00 |
| style_maps_flow_outer1000_inner1000_json |    8785.0 |    326.88 |    4.29 |        76.16 |       1.00 |
| style_maps_flow_outer1000_inner100_json  |     784.0 |    319.30 |    4.18 |        76.36 |       1.00 |
| style_maps_flow_outer1000_inner10_json   |      73.9 |    294.30 |    4.84 |        60.84 |       1.00 |
| style_seqs_blck_outer1000_inner10        |      88.9 |    531.04 |    9.85 |        53.93 |       1.00 |
| style_seqs_blck_outer1000_inner100       |     889.0 |    566.43 |    8.66 |        65.42 |       1.00 |
| style_seqs_blck_outer1000_inner1000      |    8890.0 |    467.81 |    8.37 |        55.91 |       1.00 |
| style_seqs_flow_outer1000_inner10        |      43.9 |    286.07 |    5.02 |        57.02 |       1.00 |
| style_seqs_flow_outer1000_inner100       |     394.0 |    279.06 |    4.01 |        69.56 |       1.00 |
| style_seqs_flow_outer1000_inner1000      |    3895.0 |    232.28 |    3.90 |        59.64 |       1.00 |
| style_seqs_flow_outer1000_inner1000_json |    3895.0 |    237.69 |    3.78 |        62.93 |       1.00 |
| style_seqs_flow_outer1000_inner100_json  |     394.0 |    285.40 |    4.01 |        71.14 |       1.00 |
| style_seqs_flow_outer1000_inner10_json   |      43.9 |    286.09 |    5.14 |        55.66 |       1.00 |
+------------------------------------------+-----------+-----------+---------+--------------+------------+
