+---------------------------------------------------------------------------------------------------------------------+
|                                             parse benchmark: blueprints                                             |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  175.88 |  34.05x | 3304.76% |         29.83 |       0.03x |     -97.06% |
| ryml_ints_yaml_inplace_reuse             |  174.88 |  33.85x | 3285.42% |         30.00 |       0.03x |     -97.05% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  167.88 |  32.50x | 3150.00% |         31.25 |       0.03x |     -96.92% |
| ryml_ints_yaml_inplace_nofilter          |   87.94 |  17.02x | 1602.38% |         59.66 |       0.06x |     -94.13% |
| ryml_ints_yaml_inplace_reserve           |  167.88 |  32.50x | 3150.00% |         31.25 |       0.03x |     -96.92% |
| ryml_ints_yaml_inplace                   |   87.94 |  17.02x | 1602.38% |         59.66 |       0.06x |     -94.13% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  153.28 |  29.67x | 2867.39% |         34.23 |       0.03x |     -96.63% |
| ryml_yaml_inplace_reuse_nofilter         |  156.17 |  30.23x | 2923.26% |         33.59 |       0.03x |     -96.69% |
| ryml_yaml_inplace_reuse_reserve          |  159.05 |  30.79x | 2978.95% |         32.99 |       0.03x |     -96.75% |
| ryml_yaml_inplace_reuse                  |  156.69 |  30.33x | 2933.33% |         33.48 |       0.03x |     -96.70% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  159.89 |  30.95x | 2995.24% |         32.81 |       0.03x |     -96.77% |
| ryml_yaml_arena_reuse_nofilter           |   75.55 |  14.63x | 1362.50% |         69.44 |       0.07x |     -93.16% |
| ryml_yaml_arena_reuse_reserve            |  156.17 |  30.23x | 2923.26% |         33.59 |       0.03x |     -96.69% |
| ryml_yaml_arena_reuse                    |  156.69 |  30.33x | 2933.33% |         33.48 |       0.03x |     -96.70% |
| ryml_yaml_inplace_nofilter_reserve       |  155.60 |  30.12x | 2912.20% |         33.72 |       0.03x |     -96.68% |
| ryml_yaml_inplace_nofilter               |   70.28 |  13.60x | 1260.47% |         74.65 |       0.07x |     -92.65% |
| ryml_yaml_inplace_reserve                |  127.91 |  24.76x | 2376.19% |         41.02 |       0.04x |     -95.96% |
| ryml_yaml_inplace                        |   71.95 |  13.93x | 1292.86% |         72.92 |       0.07x |     -92.82% |
| ryml_yaml_arena_nofilter_reserve         |  146.36 |  28.33x | 2733.33% |         35.85 |       0.04x |     -96.47% |
| ryml_yaml_arena_nofilter                 |   67.15 |  13.00x | 1200.00% |         78.12 |       0.08x |     -92.31% |
| ryml_yaml_arena_reserve                  |  136.79 |  26.48x | 2548.15% |         38.35 |       0.04x |     -96.22% |
| ryml_yaml_arena                          |   67.15 |  13.00x | 1200.00% |         78.12 |       0.08x |     -92.31% |
| libyaml_arena                            |   24.57 |   4.76x |  375.61% |        213.54 |       0.21x |     -78.97% |
| libyaml_arena_reuse                      |   29.63 |   5.74x |  473.53% |        177.08 |       0.17x |     -82.56% |
| yamlcpp_arena                            |    5.17 |   1.00x |    0.00% |       1015.62 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


