+---------------------------------------------------------------------------------------------------------------------+
|                                           parse benchmark: invUniqueNames                                           |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  181.77 |  39.53x | 3853.49% |        134.38 |       0.03x |     -97.47% |
| ryml_ints_yaml_inplace_reuse             |  173.70 |  37.78x | 3677.78% |        140.62 |       0.03x |     -97.35% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  169.00 |  36.76x | 3575.68% |        144.53 |       0.03x |     -97.28% |
| ryml_ints_yaml_inplace_nofilter          |   95.71 |  20.82x | 1981.63% |        255.21 |       0.05x |     -95.20% |
| ryml_ints_yaml_inplace_reserve           |  173.70 |  37.78x | 3677.78% |        140.62 |       0.03x |     -97.35% |
| ryml_ints_yaml_inplace                   |   91.96 |  20.00x | 1900.00% |        265.62 |       0.05x |     -95.00% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  160.33 |  34.87x | 3387.18% |        152.34 |       0.03x |     -97.13% |
| ryml_yaml_inplace_reuse_nofilter         |  156.33 |  34.00x | 3300.00% |        156.25 |       0.03x |     -97.06% |
| ryml_yaml_inplace_reuse_reserve          |  156.33 |  34.00x | 3300.00% |        156.25 |       0.03x |     -97.06% |
| ryml_yaml_inplace_reuse                  |  156.33 |  34.00x | 3300.00% |        156.25 |       0.03x |     -97.06% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  152.51 |  33.17x | 3217.07% |        160.16 |       0.03x |     -96.99% |
| ryml_yaml_arena_reuse_nofilter           |   80.17 |  17.44x | 1643.59% |        304.69 |       0.06x |     -94.26% |
| ryml_yaml_arena_reuse_reserve            |  152.51 |  33.17x | 3217.07% |        160.16 |       0.03x |     -96.99% |
| ryml_yaml_arena_reuse                    |  156.33 |  34.00x | 3300.00% |        156.25 |       0.03x |     -97.06% |
| ryml_yaml_inplace_nofilter_reserve       |  145.42 |  31.63x | 3062.79% |        167.97 |       0.03x |     -96.84% |
| ryml_yaml_inplace_nofilter               |   80.17 |  17.44x | 1643.59% |        304.69 |       0.06x |     -94.26% |
| ryml_yaml_inplace_reserve                |  145.42 |  31.63x | 3062.79% |        167.97 |       0.03x |     -96.84% |
| ryml_yaml_inplace                        |   80.17 |  17.44x | 1643.59% |        304.69 |       0.06x |     -94.26% |
| ryml_yaml_arena_nofilter_reserve         |  142.11 |  30.91x | 2990.91% |        171.88 |       0.03x |     -96.76% |
| ryml_yaml_arena_nofilter                 |   78.16 |  17.00x | 1600.00% |        312.50 |       0.06x |     -94.12% |
| ryml_yaml_arena_reserve                  |  145.42 |  31.63x | 3062.79% |        167.97 |       0.03x |     -96.84% |
| ryml_yaml_arena                          |   82.28 |  17.89x | 1689.47% |        296.88 |       0.06x |     -94.41% |
| libyaml_arena                            |   23.69 |   5.15x |  415.15% |       1031.25 |       0.19x |     -80.59% |
| libyaml_arena_reuse                      |   24.05 |   5.23x |  423.08% |       1015.62 |       0.19x |     -80.88% |
| yamlcpp_arena                            |    4.60 |   1.00x |    0.00% |       5312.50 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


