+---------------------------------------------------------------------------------------------------------------------+
|                                       parse benchmark: scalar_plain_multiline                                       |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  443.82 |  31.46x | 3045.53% |          0.16 |       0.03x |     -96.82% |
| ryml_ints_yaml_inplace_reuse             |  272.65 |  19.32x | 1832.33% |          0.27 |       0.05x |     -94.82% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  443.82 |  31.46x | 3045.53% |          0.16 |       0.03x |     -96.82% |
| ryml_ints_yaml_inplace_nofilter          |  225.72 |  16.00x | 1499.75% |          0.32 |       0.06x |     -93.75% |
| ryml_ints_yaml_inplace_reserve           |  285.33 |  20.22x | 1922.21% |          0.25 |       0.05x |     -95.05% |
| ryml_ints_yaml_inplace                   |  136.95 |   9.71x |  870.59% |          0.53 |       0.10x |     -89.70% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  437.33 |  31.00x | 2999.51% |          0.17 |       0.03x |     -96.77% |
| ryml_yaml_inplace_reuse_nofilter         |  443.82 |  31.46x | 3045.53% |          0.16 |       0.03x |     -96.82% |
| ryml_yaml_inplace_reuse_reserve          |  270.91 |  19.20x | 1820.00% |          0.27 |       0.05x |     -94.79% |
| ryml_yaml_inplace_reuse                  |  271.61 |  19.25x | 1825.00% |          0.27 |       0.05x |     -94.81% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  451.54 |  32.00x | 3100.21% |          0.16 |       0.03x |     -96.88% |
| ryml_yaml_arena_reuse_nofilter           |  431.02 |  30.55x | 2954.75% |          0.17 |       0.03x |     -96.73% |
| ryml_yaml_arena_reuse_reserve            |  269.52 |  19.10x | 1810.16% |          0.27 |       0.05x |     -94.76% |
| ryml_yaml_arena_reuse                    |  263.39 |  18.67x | 1766.75% |          0.28 |       0.05x |     -94.64% |
| ryml_yaml_inplace_nofilter_reserve       |  431.02 |  30.55x | 2954.75% |          0.17 |       0.03x |     -96.73% |
| ryml_yaml_inplace_nofilter               |  462.55 |  32.78x | 3178.27% |          0.16 |       0.03x |     -96.95% |
| ryml_yaml_inplace_reserve                |  266.72 |  18.90x | 1790.33% |          0.27 |       0.05x |     -94.71% |
| ryml_yaml_inplace                        |  269.52 |  19.10x | 1810.16% |          0.27 |       0.05x |     -94.76% |
| ryml_yaml_arena_nofilter_reserve         |  445.68 |  31.59x | 3058.69% |          0.16 |       0.03x |     -96.83% |
| ryml_yaml_arena_nofilter                 |  441.04 |  31.26x | 3025.79% |          0.16 |       0.03x |     -96.80% |
| ryml_yaml_arena_reserve                  |  255.61 |  18.12x | 1711.56% |          0.28 |       0.06x |     -94.48% |
| ryml_yaml_arena                          |  266.72 |  18.90x | 1790.33% |          0.27 |       0.05x |     -94.71% |
| libyaml_arena                            |   99.33 |   7.04x |  604.00% |          0.73 |       0.14x |     -85.80% |
| libyaml_arena_reuse                      |   99.33 |   7.04x |  604.00% |          0.73 |       0.14x |     -85.80% |
| yamlcpp_arena                            |   14.11 |   1.00x |    0.00% |          5.16 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


