+--------------------------------------------------------------------------------------------------------------------------------+
|                                           parse CPU time (less is better): all files                                           |
+------------------------------------------+-----------+-----------+----------+---------+--------------+------------+------------+
| file                                     | size (KB) | rapidyaml |  yamlcpp | libyaml | rapidyaml(x) | yamlcpp(x) | libyaml(x) |
+------------------------------------------+-----------+-----------+----------+---------+--------------+------------+------------+
| appveyor                                 |       2.2 |      0.01 |     0.26 |    0.05 |         0.04 |       1.00 |       0.20 |
| compile_commands                         |      47.2 |      0.06 |     2.82 |    0.60 |         0.02 |       1.00 |       0.21 |
| scalar_block_folded_multiline            |      73.4 |      0.13 |     2.98 |    0.59 |         0.04 |       1.00 |       0.20 |
| scalar_block_folded_singleline           |       5.4 |      0.02 |     0.41 |    0.09 |         0.05 |       1.00 |       0.23 |
| scalar_block_literal_multiline           |      73.4 |      0.14 |     2.78 |    0.56 |         0.05 |       1.00 |       0.20 |
| scalar_block_literal_singleline          |       5.4 |      0.02 |     0.40 |    0.09 |         0.05 |       1.00 |       0.23 |
| scalar_dquot_multiline                   |      72.9 |      0.28 |     3.37 |    0.70 |         0.08 |       1.00 |       0.21 |
| scalar_dquot_singleline                  |       4.9 |      0.01 |     0.42 |    0.10 |         0.03 |       1.00 |       0.23 |
| scalar_plain_multiline                   |      72.8 |      0.27 |     5.16 |    0.73 |         0.05 |       1.00 |       0.14 |
| scalar_plain_singleline                  |       4.8 |      0.02 |     0.52 |    0.10 |         0.03 |       1.00 |       0.19 |
| scalar_squot_multiline                   |      73.0 |      0.28 |     3.60 |    0.68 |         0.08 |       1.00 |       0.19 |
| scalar_squot_singleline                  |       4.9 |      0.01 |     0.44 |    0.09 |         0.03 |       1.00 |       0.20 |
| travis                                   |       4.2 |      0.02 |     0.44 |    0.08 |         0.04 |       1.00 |       0.19 |
| block                                    |   81682.7 |    390.62 | 10125.00 | 1968.75 |         0.04 |       1.00 |       0.19 |
| blueprints                               |    5246.3 |     32.99 |  1015.62 |  177.08 |         0.03 |       1.00 |       0.17 |
| combase                                  |  146714.1 |    703.12 | 19281.25 | 3500.00 |         0.04 |       1.00 |       0.18 |
| flow                                     |   34643.8 |    187.50 |  7906.25 | 1578.12 |         0.02 |       1.00 |       0.20 |
| invItems                                 |   55781.7 |    398.44 | 13937.50 | 2609.38 |         0.03 |       1.00 |       0.19 |
| invNames                                 |   27707.5 |    167.97 |  5562.50 | 1062.50 |         0.03 |       1.00 |       0.19 |
| invPositions                             |   44653.4 |    289.06 |  9921.88 | 2046.88 |         0.03 |       1.00 |       0.21 |
| invUniqueNames                           |   24426.0 |    156.25 |  5312.50 | 1015.62 |         0.03 |       1.00 |       0.19 |
| small-test-case                          |     289.1 |      1.07 |    27.99 |    6.56 |         0.04 |       1.00 |       0.23 |
| trusty                                   |      59.5 |      0.30 |     7.99 |    0.00 |         0.04 |       1.00 |       0.00 |
| typeDogma                                |   21509.4 |    179.69 |  5625.00 | 1046.88 |         0.03 |       1.00 |       0.19 |
| typeIDs                                  |   79356.7 |    320.31 |  6828.12 | 1250.00 |         0.05 |       1.00 |       0.18 |
| typeMaterials                            |    2001.6 |     14.93 |   468.75 |   84.82 |         0.03 |       1.00 |       0.18 |
| style_maps_blck_outer1000_inner10        |      98.9 |      1.05 |    32.03 |    6.98 |         0.03 |       1.00 |       0.22 |
| style_maps_blck_outer1000_inner100       |    1079.0 |      9.17 |   351.56 |   67.71 |         0.03 |       1.00 |       0.19 |
| style_maps_blck_outer1000_inner1000      |   11780.0 |    102.68 |  3578.12 |  703.12 |         0.03 |       1.00 |       0.20 |
| style_maps_flow_outer1000_inner10        |      73.9 |      0.71 |    30.51 |    6.14 |         0.02 |       1.00 |       0.20 |
| style_maps_flow_outer1000_inner100       |     784.0 |      7.71 |   328.12 |   67.71 |         0.02 |       1.00 |       0.21 |
| style_maps_flow_outer1000_inner1000      |    8785.0 |     69.60 |  3375.00 |  718.75 |         0.02 |       1.00 |       0.21 |
| style_maps_flow_outer1000_inner1000_json |    8785.0 |     73.86 |  4078.12 |  734.38 |         0.02 |       1.00 |       0.18 |
| style_maps_flow_outer1000_inner100_json  |     784.0 |      6.42 |   390.62 |   69.44 |         0.02 |       1.00 |       0.18 |
| style_maps_flow_outer1000_inner10_json   |      73.9 |      0.73 |    35.36 |    6.84 |         0.02 |       1.00 |       0.19 |
| style_seqs_blck_outer1000_inner10        |      88.9 |      0.77 |    19.30 |    3.61 |         0.04 |       1.00 |       0.19 |
| style_seqs_blck_outer1000_inner100       |     889.0 |      7.11 |   208.33 |   35.94 |         0.03 |       1.00 |       0.17 |
| style_seqs_blck_outer1000_inner1000      |    8890.0 |     72.92 |  2125.00 |  343.75 |         0.03 |       1.00 |       0.16 |
| style_seqs_flow_outer1000_inner10        |      43.9 |      0.53 |    15.28 |    3.30 |         0.03 |       1.00 |       0.22 |
| style_seqs_flow_outer1000_inner100       |     394.0 |      3.76 |   167.97 |   38.28 |         0.02 |       1.00 |       0.23 |
| style_seqs_flow_outer1000_inner1000      |    3895.0 |     41.36 |  1734.38 |  328.12 |         0.02 |       1.00 |       0.19 |
| style_seqs_flow_outer1000_inner1000_json |    3895.0 |     39.52 |  2125.00 |  328.12 |         0.02 |       1.00 |       0.15 |
| style_seqs_flow_outer1000_inner100_json  |     394.0 |      3.51 |   208.33 |   35.36 |         0.02 |       1.00 |       0.17 |
| style_seqs_flow_outer1000_inner10_json   |      43.9 |      0.44 |    18.58 |    3.28 |         0.02 |       1.00 |       0.18 |
+------------------------------------------+-----------+-----------+----------+---------+--------------+------------+------------+
