+-------------------------------------------------------------------------------------------------------------------------------+
|                                             parse MB/s (more is better): all files                                            |
+------------------------------------------+-----------+-----------+---------+---------+--------------+------------+------------+
| file                                     | size (KB) | rapidyaml | yamlcpp | libyaml | rapidyaml(x) | yamlcpp(x) | libyaml(x) |
+------------------------------------------+-----------+-----------+---------+---------+--------------+------------+------------+
| appveyor                                 |       2.2 |    221.78 |    8.42 |   41.79 |        26.34 |       1.00 |       4.96 |
| compile_commands                         |      47.2 |    731.32 |   16.71 |   78.66 |        43.76 |       1.00 |       4.71 |
| scalar_block_folded_multiline            |      73.4 |    570.02 |   24.62 |  125.19 |        23.15 |       1.00 |       5.08 |
| scalar_block_folded_singleline           |       5.4 |    287.04 |   13.25 |   58.49 |        21.67 |       1.00 |       4.42 |
| scalar_block_literal_multiline           |      73.4 |    518.05 |   26.37 |  131.45 |        19.64 |       1.00 |       4.98 |
| scalar_block_literal_singleline          |       5.4 |    283.89 |   13.55 |   60.08 |        20.95 |       1.00 |       4.43 |
| scalar_dquot_multiline                   |      72.9 |    263.90 |   21.60 |  103.67 |        12.22 |       1.00 |       4.80 |
| scalar_dquot_singleline                  |       4.9 |    467.13 |   11.68 |   50.22 |        40.00 |       1.00 |       4.30 |
| scalar_plain_multiline                   |      72.8 |    270.91 |   14.11 |   99.33 |        19.20 |       1.00 |       7.04 |
| scalar_plain_singleline                  |       4.8 |    303.03 |    9.22 |   49.59 |        32.85 |       1.00 |       5.38 |
| scalar_squot_multiline                   |      73.0 |    264.23 |   20.27 |  107.31 |        13.03 |       1.00 |       5.29 |
| scalar_squot_singleline                  |       4.9 |    418.13 |   11.07 |   55.75 |        37.77 |       1.00 |       5.04 |
| travis                                   |       4.2 |    236.57 |    9.38 |   49.88 |        25.21 |       1.00 |       5.32 |
| block                                    |   81682.7 |    209.11 |    8.07 |   41.49 |        25.92 |       1.00 |       5.14 |
| blueprints                               |    5246.3 |    159.05 |    5.17 |   29.63 |        30.79 |       1.00 |       5.74 |
| combase                                  |  146714.1 |    208.66 |    7.61 |   41.92 |        27.42 |       1.00 |       5.51 |
| flow                                     |   34643.8 |    184.77 |    4.38 |   21.95 |        42.17 |       1.00 |       5.01 |
| invItems                                 |   55781.7 |    140.00 |    4.00 |   21.38 |        34.98 |       1.00 |       5.34 |
| invNames                                 |   27707.5 |    164.96 |    4.98 |   26.08 |        33.12 |       1.00 |       5.24 |
| invPositions                             |   44653.4 |    154.48 |    4.50 |   21.82 |        34.32 |       1.00 |       4.85 |
| invUniqueNames                           |   24426.0 |    156.33 |    4.60 |   24.05 |        34.00 |       1.00 |       5.23 |
| small-test-case                          |     289.1 |    269.16 |   10.33 |   44.10 |        26.06 |       1.00 |       4.27 |
| trusty                                   |      59.5 |    200.57 |    7.45 |    0.00 |        26.94 |       1.00 |       0.00 |
| typeDogma                                |   21509.4 |    119.70 |    3.82 |   20.55 |        31.30 |       1.00 |       5.37 |
| typeIDs                                  |   79356.7 |    247.75 |   11.62 |   63.49 |        21.32 |       1.00 |       5.46 |
| typeMaterials                            |    2001.6 |    134.06 |    4.27 |   23.60 |        31.40 |       1.00 |       5.53 |
| style_maps_blck_outer1000_inner10        |      98.9 |     94.57 |    3.09 |   14.18 |        30.63 |       1.00 |       4.59 |
| style_maps_blck_outer1000_inner100       |    1079.0 |    117.71 |    3.07 |   15.94 |        38.35 |       1.00 |       5.19 |
| style_maps_blck_outer1000_inner1000      |   11780.0 |    114.73 |    3.29 |   16.75 |        34.85 |       1.00 |       5.09 |
| style_maps_flow_outer1000_inner10        |      73.9 |    103.36 |    2.42 |   12.04 |        42.67 |       1.00 |       4.97 |
| style_maps_flow_outer1000_inner100       |     784.0 |    101.71 |    2.39 |   11.58 |        42.57 |       1.00 |       4.85 |
| style_maps_flow_outer1000_inner1000      |    8785.0 |    126.22 |    2.60 |   12.22 |        48.49 |       1.00 |       4.70 |
| style_maps_flow_outer1000_inner1000_json |    8785.0 |    118.94 |    2.15 |   11.96 |        55.21 |       1.00 |       5.55 |
| style_maps_flow_outer1000_inner100_json  |     784.0 |    122.05 |    2.01 |   11.29 |        60.81 |       1.00 |       5.62 |
| style_maps_flow_outer1000_inner10_json   |      73.9 |    100.90 |    2.09 |   10.81 |        48.28 |       1.00 |       5.17 |
| style_seqs_blck_outer1000_inner10        |      88.9 |    115.86 |    4.61 |   24.66 |        25.16 |       1.00 |       5.35 |
| style_seqs_blck_outer1000_inner100       |     889.0 |    124.95 |    4.27 |   24.74 |        29.28 |       1.00 |       5.80 |
| style_seqs_blck_outer1000_inner1000      |    8890.0 |    121.92 |    4.18 |   25.86 |        29.14 |       1.00 |       6.18 |
| style_seqs_flow_outer1000_inner10        |      43.9 |     82.64 |    2.87 |   13.30 |        28.76 |       1.00 |       4.63 |
| style_seqs_flow_outer1000_inner100       |     394.0 |    104.79 |    2.35 |   10.29 |        44.67 |       1.00 |       4.39 |
| style_seqs_flow_outer1000_inner1000      |    3895.0 |     94.17 |    2.25 |   11.87 |        41.93 |       1.00 |       5.29 |
| style_seqs_flow_outer1000_inner1000_json |    3895.0 |     98.55 |    1.83 |   11.87 |        53.77 |       1.00 |       6.48 |
| style_seqs_flow_outer1000_inner100_json  |     394.0 |    112.27 |    1.89 |   11.14 |        59.37 |       1.00 |       5.89 |
| style_seqs_flow_outer1000_inner10_json   |      43.9 |     98.73 |    2.36 |   13.39 |        41.78 |       1.00 |       5.67 |
+------------------------------------------+-----------+-----------+---------+---------+--------------+------------+------------+
