+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_maps_blck_outer1000_inner1000                                |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  147.51 |  44.80x | 4380.43% |         79.86 |       0.02x |     -97.77% |
| ryml_ints_yaml_inplace_reuse             |  141.36 |  42.94x | 4193.75% |         83.33 |       0.02x |     -97.67% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  135.32 |  41.10x | 4010.26% |         87.05 |       0.02x |     -97.57% |
| ryml_ints_yaml_inplace_nofilter          |   75.39 |  22.90x | 2190.00% |        156.25 |       0.04x |     -95.63% |
| ryml_ints_yaml_inplace_reserve           |  135.71 |  41.22x | 4022.00% |         86.81 |       0.02x |     -97.57% |
| ryml_ints_yaml_inplace                   |   73.55 |  22.34x | 2134.15% |        160.16 |       0.04x |     -95.52% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  114.73 |  34.85x | 3384.78% |        102.68 |       0.03x |     -97.13% |
| ryml_yaml_inplace_reuse_nofilter         |  125.65 |  38.17x | 3716.67% |         93.75 |       0.03x |     -97.38% |
| ryml_yaml_inplace_reuse_reserve          |  114.73 |  34.85x | 3384.78% |        102.68 |       0.03x |     -97.13% |
| ryml_yaml_inplace_reuse                  |  115.99 |  35.23x | 3423.08% |        101.56 |       0.03x |     -97.16% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  125.65 |  38.17x | 3716.67% |         93.75 |       0.03x |     -97.38% |
| ryml_yaml_arena_reuse_nofilter           |   70.13 |  21.30x | 2030.23% |        167.97 |       0.05x |     -95.31% |
| ryml_yaml_arena_reuse_reserve            |  122.73 |  37.28x | 3627.91% |         95.98 |       0.03x |     -97.32% |
| ryml_yaml_arena_reuse                    |  125.65 |  38.17x | 3716.67% |         93.75 |       0.03x |     -97.38% |
| ryml_yaml_inplace_nofilter_reserve       |  109.95 |  33.40x | 3239.58% |        107.14 |       0.03x |     -97.01% |
| ryml_yaml_inplace_nofilter               |   65.56 |  19.91x | 1891.30% |        179.69 |       0.05x |     -94.98% |
| ryml_yaml_inplace_reserve                |  112.29 |  34.11x | 3310.64% |        104.91 |       0.03x |     -97.07% |
| ryml_yaml_inplace                        |   68.54 |  20.82x | 1981.82% |        171.88 |       0.05x |     -95.20% |
| ryml_yaml_arena_nofilter_reserve         |  102.81 |  31.23x | 3022.73% |        114.58 |       0.03x |     -96.80% |
| ryml_yaml_arena_nofilter                 |   65.56 |  19.91x | 1891.30% |        179.69 |       0.05x |     -94.98% |
| ryml_yaml_arena_reserve                  |  107.70 |  32.71x | 3171.43% |        109.38 |       0.03x |     -96.94% |
| ryml_yaml_arena                          |   70.13 |  21.30x | 2030.23% |        167.97 |       0.05x |     -95.31% |
| libyaml_arena                            |   16.04 |   4.87x |  387.23% |        734.38 |       0.21x |     -79.48% |
| libyaml_arena_reuse                      |   16.75 |   5.09x |  408.89% |        703.12 |       0.20x |     -80.35% |
| yamlcpp_arena                            |    3.29 |   1.00x |    0.00% |       3578.12 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


