+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_maps_flow_outer1000_inner100                                 |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  124.88 |  52.27x | 5126.67% |          6.28 |       0.02x |     -98.09% |
| ryml_ints_yaml_inplace_reuse             |  137.07 |  57.37x | 5636.59% |          5.72 |       0.02x |     -98.26% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  138.78 |  58.09x | 5708.51% |          5.65 |       0.02x |     -98.28% |
| ryml_ints_yaml_inplace_nofilter          |   68.32 |  28.60x | 2759.57% |         11.47 |       0.03x |     -96.50% |
| ryml_ints_yaml_inplace_reserve           |  140.49 |  58.80x | 5780.00% |          5.58 |       0.02x |     -98.30% |
| ryml_ints_yaml_inplace                   |   72.05 |  30.15x | 2915.38% |         10.88 |       0.03x |     -96.68% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  124.88 |  52.27x | 5126.67% |          6.28 |       0.02x |     -98.09% |
| ryml_yaml_inplace_reuse_nofilter         |  124.88 |  52.27x | 5126.67% |          6.28 |       0.02x |     -98.09% |
| ryml_yaml_inplace_reuse_reserve          |  101.71 |  42.57x | 4156.76% |          7.71 |       0.02x |     -97.65% |
| ryml_yaml_inplace_reuse                  |  127.72 |  53.45x | 5245.45% |          6.14 |       0.02x |     -98.13% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  122.05 |  51.08x | 5008.11% |          6.42 |       0.02x |     -98.04% |
| ryml_yaml_arena_reuse_nofilter           |   51.20 |  21.43x | 2042.86% |         15.31 |       0.05x |     -95.33% |
| ryml_yaml_arena_reuse_reserve            |  100.35 |  42.00x | 4100.00% |          7.81 |       0.02x |     -97.62% |
| ryml_yaml_arena_reuse                    |   92.16 |  38.57x | 3757.14% |          8.51 |       0.03x |     -97.41% |
| ryml_yaml_inplace_nofilter_reserve       |   92.16 |  38.57x | 3757.14% |          8.51 |       0.03x |     -97.41% |
| ryml_yaml_inplace_nofilter               |   52.51 |  21.98x | 2097.67% |         14.93 |       0.05x |     -95.45% |
| ryml_yaml_inplace_reserve                |  101.71 |  42.57x | 4156.76% |          7.71 |       0.02x |     -97.65% |
| ryml_yaml_inplace                        |   53.38 |  22.34x | 2134.04% |         14.69 |       0.04x |     -95.52% |
| ryml_yaml_arena_nofilter_reserve         |  102.63 |  42.95x | 4195.45% |          7.64 |       0.02x |     -97.67% |
| ryml_yaml_arena_nofilter                 |   52.51 |  21.98x | 2097.67% |         14.93 |       0.05x |     -95.45% |
| ryml_yaml_arena_reserve                  |  100.35 |  42.00x | 4100.00% |          7.81 |       0.02x |     -97.62% |
| ryml_yaml_arena                          |   53.76 |  22.50x | 2150.00% |         14.58 |       0.04x |     -95.56% |
| libyaml_arena                            |   10.26 |   4.30x |  329.55% |         76.39 |       0.23x |     -76.72% |
| libyaml_arena_reuse                      |   11.58 |   4.85x |  384.62% |         67.71 |       0.21x |     -79.37% |
| yamlcpp_arena                            |    2.39 |   1.00x |    0.00% |        328.12 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


