+---------------------------------------------------------------------------------------------------------------------+
|                              parse benchmark: style_maps_flow_outer1000_inner1000_json                              |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  147.25 |  68.36x | 6735.71% |         59.66 |       0.01x |     -98.54% |
| ryml_ints_yaml_inplace_reuse             |  150.84 |  70.02x | 6902.44% |         58.24 |       0.01x |     -98.57% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  150.84 |  70.02x | 6902.44% |         58.24 |       0.01x |     -98.57% |
| ryml_ints_yaml_inplace_nofilter          |   80.32 |  37.29x | 3628.57% |        109.38 |       0.03x |     -97.32% |
| ryml_ints_yaml_inplace_reserve           |  147.25 |  68.36x | 6735.71% |         59.66 |       0.01x |     -98.54% |
| ryml_ints_yaml_inplace                   |   76.67 |  35.59x | 3459.09% |        114.58 |       0.03x |     -97.19% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  129.75 |  60.23x | 5923.08% |         67.71 |       0.02x |     -98.34% |
| ryml_yaml_inplace_reuse_nofilter         |  140.56 |  65.25x | 6425.00% |         62.50 |       0.02x |     -98.47% |
| ryml_yaml_inplace_reuse_reserve          |  118.94 |  55.21x | 5421.15% |         73.86 |       0.02x |     -98.19% |
| ryml_yaml_inplace_reuse                  |  126.22 |  58.59x | 5759.18% |         69.60 |       0.02x |     -98.29% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  131.59 |  61.09x | 6008.51% |         66.76 |       0.02x |     -98.36% |
| ryml_yaml_arena_reuse_nofilter           |   61.11 |  28.37x | 2736.96% |        143.75 |       0.04x |     -96.48% |
| ryml_yaml_arena_reuse_reserve            |  115.00 |  53.39x | 5238.64% |         76.39 |       0.02x |     -98.13% |
| ryml_yaml_arena_reuse                    |  121.27 |  56.29x | 5529.41% |         72.44 |       0.02x |     -98.22% |
| ryml_yaml_inplace_nofilter_reserve       |  115.00 |  53.39x | 5238.64% |         76.39 |       0.02x |     -98.13% |
| ryml_yaml_inplace_nofilter               |   66.15 |  30.71x | 2970.59% |        132.81 |       0.03x |     -96.74% |
| ryml_yaml_inplace_reserve                |  112.45 |  52.20x | 5120.00% |         78.12 |       0.02x |     -98.08% |
| ryml_yaml_inplace                        |   63.89 |  29.66x | 2865.91% |        137.50 |       0.03x |     -96.63% |
| ryml_yaml_arena_nofilter_reserve         |  110.00 |  51.07x | 5006.52% |         79.86 |       0.02x |     -98.04% |
| ryml_yaml_arena_nofilter                 |   63.89 |  29.66x | 2865.91% |        137.50 |       0.03x |     -96.63% |
| ryml_yaml_arena_reserve                  |  112.45 |  52.20x | 5120.00% |         78.12 |       0.02x |     -98.08% |
| ryml_yaml_arena                          |   62.47 |  29.00x | 2800.00% |        140.62 |       0.03x |     -96.55% |
| libyaml_arena                            |   11.47 |   5.33x |  432.65% |        765.62 |       0.19x |     -81.23% |
| libyaml_arena_reuse                      |   11.96 |   5.55x |  455.32% |        734.38 |       0.18x |     -81.99% |
| yamlcpp_arena                            |    2.15 |   1.00x |    0.00% |       4078.12 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


