+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_seqs_blck_outer1000_inner100                                 |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  151.72 |  35.56x | 3455.56% |          5.86 |       0.03x |     -97.19% |
| ryml_ints_yaml_inplace_reuse             |  159.31 |  37.33x | 3633.33% |          5.58 |       0.03x |     -97.32% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  142.24 |  33.33x | 3233.33% |          6.25 |       0.03x |     -97.00% |
| ryml_ints_yaml_inplace_nofilter          |   79.16 |  18.55x | 1755.07% |         11.23 |       0.05x |     -94.61% |
| ryml_ints_yaml_inplace_reserve           |  138.40 |  32.43x | 3143.24% |          6.42 |       0.03x |     -96.92% |
| ryml_ints_yaml_inplace                   |   81.70 |  19.15x | 1814.53% |         10.88 |       0.05x |     -94.78% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  131.30 |  30.77x | 2976.92% |          6.77 |       0.03x |     -96.75% |
| ryml_yaml_inplace_reuse_nofilter         |  131.30 |  30.77x | 2976.92% |          6.77 |       0.03x |     -96.75% |
| ryml_yaml_inplace_reuse_reserve          |  124.95 |  29.28x | 2828.10% |          7.11 |       0.03x |     -96.58% |
| ryml_yaml_inplace_reuse                  |  142.24 |  33.33x | 3233.33% |          6.25 |       0.03x |     -97.00% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  130.05 |  30.48x | 2947.62% |          6.84 |       0.03x |     -96.72% |
| ryml_yaml_arena_reuse_nofilter           |   59.54 |  13.95x | 1295.35% |         14.93 |       0.07x |     -92.83% |
| ryml_yaml_arena_reuse_reserve            |  128.02 |  30.00x | 2900.00% |          6.94 |       0.03x |     -96.67% |
| ryml_yaml_arena_reuse                    |  127.45 |  29.87x | 2886.67% |          6.98 |       0.03x |     -96.65% |
| ryml_yaml_inplace_nofilter_reserve       |  109.42 |  25.64x | 2464.10% |          8.12 |       0.04x |     -96.10% |
| ryml_yaml_inplace_nofilter               |   58.19 |  13.64x | 1263.64% |         15.28 |       0.07x |     -92.67% |
| ryml_yaml_inplace_reserve                |  113.79 |  26.67x | 2566.67% |          7.81 |       0.04x |     -96.25% |
| ryml_yaml_inplace                        |   58.19 |  13.64x | 1263.64% |         15.28 |       0.07x |     -92.67% |
| ryml_yaml_arena_nofilter_reserve         |  108.01 |  25.31x | 2431.07% |          8.23 |       0.04x |     -96.05% |
| ryml_yaml_arena_nofilter                 |   58.19 |  13.64x | 1263.64% |         15.28 |       0.07x |     -92.67% |
| ryml_yaml_arena_reserve                  |  108.95 |  25.53x | 2453.19% |          8.16 |       0.04x |     -96.08% |
| ryml_yaml_arena                          |   58.19 |  13.64x | 1263.64% |         15.28 |       0.07x |     -92.67% |
| libyaml_arena                            |   21.49 |   5.04x |  403.70% |         41.36 |       0.20x |     -80.15% |
| libyaml_arena_reuse                      |   24.74 |   5.80x |  479.71% |         35.94 |       0.17x |     -82.75% |
| yamlcpp_arena                            |    4.27 |   1.00x |    0.00% |        208.33 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


