+---------------------------------------------------------------------------------------------------------------------+
|                                 parse benchmark: style_seqs_flow_outer1000_inner100                                 |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  139.53 |  59.48x | 5848.33% |          2.82 |       0.02x |     -98.32% |
| ryml_ints_yaml_inplace_reuse             |  136.50 |  58.19x | 5719.02% |          2.89 |       0.02x |     -98.28% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  139.53 |  59.48x | 5848.33% |          2.82 |       0.02x |     -98.32% |
| ryml_ints_yaml_inplace_nofilter          |   76.41 |  32.58x | 3157.58% |          5.16 |       0.03x |     -96.93% |
| ryml_ints_yaml_inplace_reserve           |  146.02 |  62.25x | 6125.00% |          2.70 |       0.02x |     -98.39% |
| ryml_ints_yaml_inplace                   |   76.41 |  32.58x | 3157.58% |          5.16 |       0.03x |     -96.93% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  107.47 |  45.82x | 4481.55% |          3.67 |       0.02x |     -97.82% |
| ryml_yaml_inplace_reuse_nofilter         |  104.97 |  44.75x | 4375.00% |          3.75 |       0.02x |     -97.77% |
| ryml_yaml_inplace_reuse_reserve          |  104.79 |  44.67x | 4367.22% |          3.76 |       0.02x |     -97.76% |
| ryml_yaml_inplace_reuse                  |  101.55 |  43.29x | 4229.05% |          3.88 |       0.02x |     -97.69% |
| ryml_yaml_arena_reuse_nofilter_reserve   |   99.66 |  42.49x | 4148.81% |          3.95 |       0.02x |     -97.65% |
| ryml_yaml_arena_reuse_nofilter           |   35.46 |  15.12x | 1411.72% |         11.11 |       0.07x |     -93.39% |
| ryml_yaml_arena_reuse_reserve            |  100.86 |  43.00x | 4200.00% |          3.91 |       0.02x |     -97.67% |
| ryml_yaml_arena_reuse                    |   97.35 |  41.50x | 4050.00% |          4.05 |       0.02x |     -97.59% |
| ryml_yaml_inplace_nofilter_reserve       |   81.25 |  34.64x | 3363.89% |          4.85 |       0.03x |     -97.11% |
| ryml_yaml_inplace_nofilter               |   32.84 |  14.00x | 1300.00% |         12.00 |       0.07x |     -92.86% |
| ryml_yaml_inplace_reserve                |   75.65 |  32.25x | 3125.00% |          5.21 |       0.03x |     -96.90% |
| ryml_yaml_inplace                        |   32.09 |  13.68x | 1268.18% |         12.28 |       0.07x |     -92.69% |
| ryml_yaml_arena_nofilter_reserve         |   83.06 |  35.41x | 3441.18% |          4.74 |       0.03x |     -97.18% |
| ryml_yaml_arena_nofilter                 |   32.09 |  13.68x | 1268.18% |         12.28 |       0.07x |     -92.69% |
| ryml_yaml_arena_reserve                  |   70.04 |  29.86x | 2886.11% |          5.62 |       0.03x |     -96.65% |
| ryml_yaml_arena                          |   32.09 |  13.68x | 1268.18% |         12.28 |       0.07x |     -92.69% |
| libyaml_arena                            |    8.97 |   3.82x |  282.22% |         43.95 |       0.26x |     -73.84% |
| libyaml_arena_reuse                      |   10.29 |   4.39x |  338.78% |         38.28 |       0.23x |     -77.21% |
| yamlcpp_arena                            |    2.35 |   1.00x |    0.00% |        167.97 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


