+----------------------------------------------------------------------------------------------------------------------+
|                              parse benchmark: style_seqs_flow_outer1000_inner1000_json                               |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |   MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+-----------+---------------+-------------+-------------+
| ryml_ints_estimate                       | 1368.14 | 746.42x | 74541.86% |          2.85 |       0.00x |     -99.87% |
| ryml_ints_json_inplace_reuse_nofilter    |  227.12 | 123.91x | 12291.11% |         17.15 |       0.01x |     -99.19% |
| ryml_ints_json_inplace_reuse             |  238.67 | 130.21x | 12921.28% |         16.32 |       0.01x |     -99.23% |
| ryml_ints_json_inplace_nofilter_reserve  |  224.96 | 122.73x | 12173.17% |         17.31 |       0.01x |     -99.19% |
| ryml_ints_json_inplace_nofilter          |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
| ryml_ints_json_inplace_reserve           |  222.18 | 121.22x | 12021.74% |         17.53 |       0.01x |     -99.18% |
| ryml_ints_json_inplace                   |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
| ryml_ints_yaml_inplace_reuse_nofilter    |  147.30 |  80.36x |  7936.36% |         26.44 |       0.01x |     -98.76% |
| ryml_ints_yaml_inplace_reuse             |  141.64 |  77.27x |  7627.27% |         27.50 |       0.01x |     -98.71% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  146.64 |  80.00x |  7900.00% |         26.56 |       0.01x |     -98.75% |
| ryml_ints_yaml_inplace_nofilter          |   77.90 |  42.50x |  4150.00% |         50.00 |       0.02x |     -97.65% |
| ryml_ints_yaml_inplace_reserve           |  142.45 |  77.71x |  7671.43% |         27.34 |       0.01x |     -98.71% |
| ryml_ints_yaml_inplace                   |   75.54 |  41.21x |  4021.21% |         51.56 |       0.02x |     -97.57% |
| ryml_json_inplace_reuse_nofilter_reserve |  121.74 |  66.42x |  6541.86% |         31.99 |       0.02x |     -98.49% |
| ryml_json_inplace_reuse_nofilter         |  127.29 |  69.45x |  6844.68% |         30.60 |       0.01x |     -98.56% |
| ryml_json_inplace_reuse_reserve          |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
| ryml_json_inplace_reuse                  |  124.64 |  68.00x |  6700.00% |         31.25 |       0.01x |     -98.53% |
