+---------------------------------------------------------------------------------------------------------------------+
|                                              parse benchmark: typeDogma                                             |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| function                                 |    MB/s | MB/s(x) |  MB/s(%) | cpu time (ms) | cpu time(x) | cpu time(%) |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+
| ryml_ints_yaml_inplace_reuse_nofilter    |  146.45 |  38.30x | 3729.79% |        146.88 |       0.03x |     -97.39% |
| ryml_ints_yaml_inplace_reuse             |  143.40 |  37.50x | 3650.00% |        150.00 |       0.03x |     -97.33% |
| ryml_ints_yaml_inplace_nofilter_reserve  |  144.91 |  37.89x | 3689.47% |        148.44 |       0.03x |     -97.36% |
| ryml_ints_yaml_inplace_nofilter          |   74.41 |  19.46x | 1845.95% |        289.06 |       0.05x |     -94.86% |
| ryml_ints_yaml_inplace_reserve           |  141.19 |  36.92x | 3592.31% |        152.34 |       0.03x |     -97.29% |
| ryml_ints_yaml_inplace                   |   76.48 |  20.00x | 1900.00% |        281.25 |       0.05x |     -95.00% |
| ryml_yaml_inplace_reuse_nofilter_reserve |  128.06 |  33.49x | 3248.84% |        167.97 |       0.03x |     -97.01% |
| ryml_yaml_inplace_reuse_nofilter         |  125.15 |  32.73x | 3172.73% |        171.88 |       0.03x |     -96.94% |
| ryml_yaml_inplace_reuse_reserve          |  119.70 |  31.30x | 3030.43% |        179.69 |       0.03x |     -96.81% |
| ryml_yaml_inplace_reuse                  |  125.15 |  32.73x | 3172.73% |        171.88 |       0.03x |     -96.94% |
| ryml_yaml_arena_reuse_nofilter_reserve   |  125.15 |  32.73x | 3172.73% |        171.88 |       0.03x |     -96.94% |
| ryml_yaml_arena_reuse_nofilter           |   67.15 |  17.56x | 1656.10% |        320.31 |       0.06x |     -94.31% |
| ryml_yaml_arena_reuse_reserve            |  125.15 |  32.73x | 3172.73% |        171.88 |       0.03x |     -96.94% |
| ryml_yaml_arena_reuse                    |  119.70 |  31.30x | 3030.43% |        179.69 |       0.03x |     -96.81% |
| ryml_yaml_inplace_nofilter_reserve       |  125.15 |  32.73x | 3172.73% |        171.88 |       0.03x |     -96.94% |
| ryml_yaml_inplace_nofilter               |   67.15 |  17.56x | 1656.10% |        320.31 |       0.06x |     -94.31% |
| ryml_yaml_inplace_reserve                |  114.72 |  30.00x | 2900.00% |        187.50 |       0.03x |     -96.67% |
| ryml_yaml_inplace                        |   67.15 |  17.56x | 1656.10% |        320.31 |       0.06x |     -94.31% |
| ryml_yaml_arena_nofilter_reserve         |  110.13 |  28.80x | 2780.00% |        195.31 |       0.03x |     -96.53% |
| ryml_yaml_arena_nofilter                 |   65.55 |  17.14x | 1614.29% |        328.12 |       0.06x |     -94.17% |
| ryml_yaml_arena_reserve                  |  119.70 |  31.30x | 3030.43% |        179.69 |       0.03x |     -96.81% |
| ryml_yaml_arena                          |   65.55 |  17.14x | 1614.29% |        328.12 |       0.06x |     -94.17% |
| libyaml_arena                            |   20.86 |   5.45x |  445.45% |       1031.25 |       0.18x |     -81.67% |
| libyaml_arena_reuse                      |   20.55 |   5.37x |  437.31% |       1046.88 |       0.19x |     -81.39% |
| yamlcpp_arena                            |    3.82 |   1.00x |    0.00% |       5625.00 |       1.00x |       0.00% |
+------------------------------------------+---------+---------+----------+---------------+-------------+-------------+ 


